en	lang	example_translation
abnormality	hi	डॉक्टर चिकित्सा परीक्षाओं के दौरान पाई गई किसी भी असामान्यता की जांच करते हैं।
abnormality	ja	医師は医療検査中に発見された異常を調査します。
abnormality	zh	医生会调查在医疗检查中发现的任何异常情况。
abortion	de	Medizinische Fachkräfte bieten Beratung bezüglich Abtreibungsverfahren an.
abortion	fr	Les professionnels de la santé fournissent des conseils concernant les procédures d'avortement.
abortion	es	Los profesionales médicos brindan asesoramiento sobre procedimientos de aborto.
abortion	it	I professionisti sanitari forniscono consulenza riguardo alle procedure di aborto.
abortion	pt	Profissionais médicos fornecem aconselhamento sobre procedimentos de aborto.
abortion	ru	Медицинские работники предоставляют консультации по процедурам аборта.
abortion	ar	يقدم المهنيون الطبيون الاستشارة حول إجراءات الإجهاض.
abortion	hi	चिकित्सा पेशेवर गर्भपात की प्रक्रियाओं के बारे में परामर्श प्रदान करते हैं।
abortion	ja	医療従事者は中絶手術に関するカウンセリングを提供します。
abortion	zh	医疗专业人员提供有关流产手术的咨询。
absence	de	Ihr Fehlen bei der Sitzung wurde von allen Ausschussmitgliedern bemerkt.
absence	fr	Son absence à la réunion a été remarquée par tous les membres du comité.
absence	es	Su ausencia de la reunión fue notada por todos en el comité.
absence	it	La sua assenza dalla riunione è stata notata da tutti nel comitato.
absence	pt	Sua ausência na reunião foi notada por todos no comitê.
absence	ru	Её отсутствие на собрании было замечено всеми членами комитета.
absence	ar	لاحظ جميع أعضاء اللجنة غيابها عن الاجتماع.
absence	hi	समिति के सभी लोगों ने बैठक में उसकी अनुपस्थिति को नोट किया।
absence	ja	会議への彼女の欠席は、委員会の全員によって注目されました。
absence	zh	委员会的每个人都注意到了她没有参加会议。
absolute	de	Philosophen debattieren, ob ein moralisches Absolut existiert oder ob Ethik relativ ist.
absolute	fr	Les philosophes débattent de l'existence d'un absolu moral ou si l'éthique est relative.
absolute	es	Los filósofos debaten si existe lo moral absoluto o si la ética es relativa.
absolute	it	I filosofi dibattono se esiste un assoluto morale o se l'etica è relativa.
absolute	pt	Filósofos debatem se existe um absoluto moral ou se a ética é relativa.
absolute	ru	Философы спорят о том, существует ли моральный абсолют или этика относительна.
absolute	ar	يناقش الفلاسفة ما إذا كان المطلق الأخلاقي موجوداً أم أن الأخلاق نسبية.
absolute	hi	दर्शनशास्त्री इस बात पर बहस करते हैं कि क्या नैतिक परम सत्य मौजूद है या नैतिकता सापेक्ष है।
absolute	ja	哲学者たちは道徳の絶対性が存在するか、それとも倫理は相対的なものかを議論しています。
absolute	zh	哲学家们争论道德绝对性是否存在，或者伦理是否是相对的。
abstract	de	Der Autor stellte eine Zusammenfassung des Forschungsartikels zur Verfügung.
abstract	fr	L'auteur a fourni un résumé de l'article de recherche.
abstract	es	El autor proporcionó un resumen del artículo de investigación.
abstract	it	L'autore ha fornito un riassunto dell'articolo di ricerca.
abstract	pt	O autor forneceu um resumo do artigo de pesquisa.
abstract	ru	Автор предоставил аннотацию исследовательской статьи.
abstract	ar	قدم المؤلف ملخصاً لورقة البحث.
abstract	hi	लेखक ने अनुसंधान पत्र का सार प्रदान किया।
abstract	ja	著者は研究論文の要約を提供しました。
abstract	zh	作者提供了研究论文的摘要。
abstraction	de	Mathematische Abstraktion hilft bei der Lösung komplexer theoretischer Probleme.
abstraction	fr	L'abstraction mathématique aide à résoudre des problèmes théoriques complexes.
abstraction	es	La abstracción matemática ayuda a resolver problemas teóricos complejos.
abstraction	it	L'astrazione matematica aiuta a risolvere problemi teorici complessi.
abstraction	pt	A abstração matemática ajuda a resolver problemas teóricos complexos.
abstraction	ru	Математическая абстракция помогает решать сложные теоретические проблемы.
abstraction	ar	يساعد التجريد الرياضي في حل المشاكل النظرية المعقدة.
abstraction	hi	गणितीय अमूर्तता जटिल सैद्धांतिक समस्याओं को हल करने में मदद करती है।
abstraction	ja	数学的抽象化は複雑な理論的問題の解決に役立ちます。
abstraction	zh	数学抽象有助于解决复杂的理论问题。
absurd	de	Die Comedy-Show umarmte das Absurde mit unlogischem Humor.
absurd	fr	Le spectacle de comédie a embrassé l'absurde avec un humour illogique.
absurd	es	El espectáculo de comedia abrazó lo absurdo con humor ilógico.
absurd	it	Lo spettacolo comico ha abbracciato l'assurdo con un umorismo illogico.
absurd	pt	O show de comédia abraçou o absurdo com humor ilógico.
absurd	ru	Комедийное шоу приняло абсурд с нелогичным юмором.
absurd	ar	احتضن العرض الكوميدي العبث بفكاهة غير منطقية.
absurd	hi	कॉमेडी शो ने अतार्किक हास्य के साथ बेतुकेपन को अपनाया।
absurd	ja	そのコメディーショーは非論理的なユーモアで不条理を受け入れました。
absurd	zh	这个喜剧节目用不合逻辑的幽默拥抱荒诞。
absurdity	de	Sie konnte nicht anders, als über die Absurdität zu lachen, formelle Kleidung zum Zaun streichen zu tragen.
absurdity	fr	Elle ne pouvait s'empêcher de rire de l'absurdité de porter des vêtements formels pour peindre la clôture.
absurdity	es	No pudo evitar reírse de lo absurdo de usar ropa formal para pintar la cerca.
absurdity	it	Non poteva fare a meno di ridere dell'assurdità di indossare vestiti eleganti per dipingere la recinzione.
absurdity	pt	Ela não conseguiu deixar de rir do absurdo de usar roupas formais para pintar a cerca.
absurdity	ru	Она не могла не смеяться над абсурдностью ношения официальной одежды для покраски забора.
absurdity	ar	لم تستطع إلا أن تضحك من عبثية ارتداء الملابس الرسمية لطلاء السياج.
absurdity	hi	बाड़ को पेंट करने के लिए औपचारिक कपड़े पहनने की बेतुकी बात पर वह हंसे बिना नहीं रह सकी।
absurdity	ja	彼女は塀を塗るのに正装をすることの不条理さに笑わずにはいられませんでした。
absurdity	zh	她忍不住嘲笑穿正装去刷篱笆的荒谬性。
abundance	de	Natürliche Wälder bieten eine Fülle von Lebensräumen für Wildtiere.
abundance	fr	Les forêts naturelles offrent une abondance d'habitats pour la faune.
abundance	es	Los bosques naturales proporcionan una abundancia de hábitats para la vida silvestre.
abundance	it	Le foreste naturali forniscono un'abbondanza di habitat per la fauna selvatica.
abundance	pt	Florestas naturais fornecem uma abundância de habitats para a vida selvagem.
abundance	ru	Естественные леса предоставляют изобилие местообитаний для дикой природы.
abundance	ar	توفر الغابات الطبيعية وفرة من موائل الحياة البرية.
abundance	hi	प्राकृतिक वन वन्यजीवों के लिए आवासों की प्रचुरता प्रदान करते हैं।
abundance	ja	天然林は野生動物の生息地を豊富に提供しています。
abundance	zh	天然森林提供了丰富的野生动物栖息地。
abuse	de	Substanzmissbrauch betrifft Millionen von Menschen weltweit.
abuse	fr	L'abus de substances affecte des millions de personnes dans le monde.
abuse	es	El abuso de sustancias afecta a millones de personas en todo el mundo.
abuse	it	L'abuso di sostanze colpisce milioni di persone in tutto il mondo.
abuse	pt	O abuso de substâncias afeta milhões de pessoas em todo o mundo.
abuse	ru	Злоупотребление веществами затрагивает миллионы людей по всему миру.
abuse	ar	يؤثر إساءة استخدام المواد على ملايين الأشخاص حول العالم.
abuse	hi	पदार्थों का दुरुपयोग दुनिया भर में लाखों लोगों को प्रभावित करता है।
abuse	ja	薬物乱用は世界中の何百万人もの人々に影響を与えています。
abuse	zh	物质滥用影响着全世界数百万人。
academy	de	Sie schrieb sich an einer renommierten Akademie ein, um klassische Musik zu studieren.
academy	fr	Elle s'est inscrite dans une académie prestigieuse pour étudier la musique classique.
academy	es	Se matriculó en una academia prestigiosa para estudiar música clásica.
academy	it	Si è iscritta a un'accademia prestigiosa per studiare musica classica.
academy	pt	Ela se matriculou em uma academia prestigiosa para estudar música clássica.
academy	ru	Она поступила в престижную академию для изучения классической музыки.
academy	ar	التحقت بأكاديمية مرموقة لدراسة الموسيقى الكلاسيكية.
academy	hi	उसने शास्त्रीय संगीत का अध्ययन करने के लिए एक प्रतिष्ठित अकादमी में दाखिला लिया।
academy	ja	彼女はクラシック音楽を学ぶために名門アカデミーに入学しました。
academy	zh	她报名参加了一所著名的学院来学习古典音乐。
accent	de	Sein britischer Akzent machte ihn in der amerikanischen Stadt leicht erkennbar.
accent	fr	Son accent britannique le rendait facilement reconnaissable dans la ville américaine.
accent	es	Su acento británico lo hacía fácilmente reconocible en la ciudad americana.
accent	it	Il suo accento britannico lo rendeva facilmente riconoscibile nella città americana.
accent	pt	Seu sotaque britânico o tornava facilmente reconhecível na cidade americana.
accent	ru	Его британский акцент делал его легко узнаваемым в американском городе.
accent	ar	جعلته لهجته البريطانية سهل التعرف عليه في المدينة الأمريكية.
accent	hi	उसके ब्रिटिश उच्चारण ने उसे अमेरिकी शहर में आसानी से पहचानने योग्य बना दिया।
accent	ja	彼のイギリス訛りは、アメリカの都市で彼を簡単に識別できるものにしました。
accent	zh	他的英国口音使他在美国城市里很容易被认出。
access	de	Studenten benötigen eine spezielle Karte, um Zugang zur Universitätsbibliothek zu erhalten.
access	fr	Les étudiants ont besoin d'une carte spéciale pour accéder à la bibliothèque universitaire.
access	es	Los estudiantes necesitan una tarjeta especial para acceder a la biblioteca universitaria.
access	it	Gli studenti hanno bisogno di una carta speciale per accedere alla biblioteca universitaria.
access	pt	Estudantes precisam de um cartão especial para ter acesso à biblioteca universitária.
access	ru	Студентам нужна специальная карта для получения доступа к университетской библиотеке.
access	ar	يحتاج الطلاب إلى بطاقة خاصة للوصول إلى مكتبة الجامعة.
access	hi	छात्रों को विश्वविद्यालय पुस्तकालय में प्रवेश पाने के लिए एक विशेष कार्ड की आवश्यकता होती है।
access	ja	学生は大学図書館にアクセスするために特別なカードが必要です。
access	zh	学生需要特殊卡片才能进入大学图书馆。
accessory	de	Sie kaufte eine schöne Halskette als Accessoire für ihr Hochzeitskleid.
accessory	fr	Elle a acheté un beau collier comme accessoire pour sa robe de mariée.
accessory	es	Compró un hermoso collar como accesorio para su vestido de novia.
accessory	it	Ha comprato una bella collana come accessorio per il suo vestito da sposa.
accessory	pt	Ela comprou um belo colar como acessório para seu vestido de noiva.
accessory	ru	Она купила красивое ожерелье в качестве аксессуара к свадебному платью.
accessory	ar	اشترت قلادة جميلة كإكسسوار لفستان زفافها.
accessory	hi	उसने अपनी शादी की पोशाक के लिए एक सुंदर हार को सहायक वस्तु के रूप में खरीदा।
accessory	ja	彼女はウェディングドレスのアクセサリーとして美しいネックレスを買いました。
accessory	zh	她买了一条美丽的项链作为婚纱的配饰。
accident	de	Versicherungsgesellschaften untersuchen jeden Unfallschaden gründlich.
accident	fr	Les compagnies d'assurance enquêtent minutieusement sur chaque réclamation d'accident.
accident	es	Las compañías de seguros investigan exhaustivamente cada reclamo de accidente.
accident	it	Le compagnie assicurative indagano accuratamente ogni richiesta di risarcimento per incidente.
accident	pt	Companhias de seguro investigam minuciosamente cada reclamação de acidente.
accident	ru	Страховые компании тщательно расследуют каждую заявку о несчастном случае.
accident	ar	تحقق شركات التأمين بدقة في كل مطالبة حادث.
accident	hi	बीमा कंपनियां हर दुर्घटना के दावे की पूरी तरह से जांच करती हैं।
accident	ja	保険会社はすべての事故請求を徹底的に調査します。
accident	zh	保险公司彻底调查每一个事故理赔。
accommodation	de	Touristen buchen Unterkünfte für beliebte Reiseziele Monate im Voraus.
accommodation	fr	Les touristes réservent leur hébergement des mois à l'avance pour les destinations populaires.
accommodation	es	Los turistas reservan alojamiento con meses de anticipación para destinos populares.
accommodation	it	I turisti prenotano l'alloggio con mesi di anticipo per le destinazioni popolari.
accommodation	pt	Turistas reservam acomodação com meses de antecedência para destinos populares.
accommodation	ru	Туристы бронируют жильё на месяцы вперёд для популярных направлений.
accommodation	ar	يحجز السياح أماكن الإقامة قبل شهور للوجهات الشعبية.
accommodation	hi	पर्यटक लोकप्रिय गंतव्यों के लिए महीनों पहले आवास बुक करते हैं।
accommodation	ja	観光客は人気の目的地では何ヶ月も前に宿泊施設を予約します。
accommodation	zh	游客为热门目的地提前几个月预订住宿。
accomplishment	de	Der Universitätsabschluss war ihre größte Leistung bis jetzt.
accomplishment	fr	Obtenir son diplôme universitaire était son plus grand accomplissement jusqu'à présent.
accomplishment	es	Graduarse de la universidad fue su mayor logro hasta ahora.
accomplishment	it	Laurearsi all'università è stato il suo più grande traguardo finora.
accomplishment	pt	Formar-se na universidade foi sua maior conquista até agora.
accomplishment	ru	Окончание университета было её величайшим достижением на тот момент.
accomplishment	ar	كان التخرج من الجامعة أعظم إنجازاتها حتى الآن.
accomplishment	hi	विश्वविद्यालय से स्नातक होना उसकी अब तक की सबसे बड़ी उपलब्धि थी।
accomplishment	ja	大学を卒業することは、彼女にとってこれまでで最大の成果でした。
accomplishment	zh	从大学毕业是她迄今为止最大的成就。
accord	de	Ein diplomatisches Abkommen wurde zwischen den beiden Ländern erreicht.
accord	fr	Un accord diplomatique a été conclu entre les deux pays.
accord	es	Se alcanzó un acuerdo diplomático entre los dos países.
accord	it	È stato raggiunto un accordo diplomatico tra i due paesi.
accord	pt	Um acordo diplomático foi alcançado entre os dois países.
accord	ru	Дипломатическое соглашение было достигнуто между двумя странами.
accord	ar	تم التوصل إلى اتفاق دبلوماسي بين البلدين.
accord	hi	दो देशों के बीच एक राजनयिक समझौता हुआ।
accord	ja	両国間で外交協定が締結されました。
accord	zh	两国之间达成了外交协议。
account	de	Sie gab eine detaillierte Darstellung dessen, was während der Besprechung geschah.
account	fr	Elle a donné un récit détaillé de ce qui s'est passé pendant la réunion.
account	es	Ella dio un relato detallado de lo que pasó durante la reunión.
account	it	Ha dato un resoconto dettagliato di quello che è successo durante l'incontro.
account	pt	Ela deu um relato detalhado do que aconteceu durante a reunião.
account	ru	Она дала подробный отчет о том, что произошло во время встречи.
account	ar	قدمت تقريراً مفصلاً عما حدث أثناء الاجتماع.
account	hi	उसने बैठक के दौरान जो हुआ उसका विस्तृत विवरण दिया।
account	ja	彼女は会議中に何が起こったかについて詳細な説明をしました。
account	zh	她详细说明了会议期间发生的事情。
accounting	de	Kleine Unternehmen benötigen ordnungsgemäße Buchführung, um Ausgaben und Einkommen zu verfolgen.
accounting	fr	Les petites entreprises ont besoin d'une comptabilité appropriée pour suivre les dépenses et les revenus.
accounting	es	Las pequeñas empresas necesitan contabilidad adecuada para rastrear gastos e ingresos.
accounting	it	Le piccole aziende hanno bisogno di una contabilità adeguata per monitorare spese e entrate.
accounting	pt	Pequenas empresas precisam de contabilidade adequada para acompanhar despesas e receitas.
accounting	ru	Малому бизнесу нужен правильный учет для отслеживания расходов и доходов.
accounting	ar	تحتاج الشركات الصغيرة إلى محاسبة مناسبة لتتبع المصروفات والإيرادات.
accounting	hi	छोटे व्यवसायों को खर्च और आय को ट्रैक करने के लिए उचित लेखांकन की आवश्यकता होती है।
accounting	ja	小さな企業は支出と収入を追跡するために適切な会計が必要です。
accounting	zh	小企业需要适当的会计来跟踪支出和收入。
accumulation	de	Vermögensaufbau erfordert diszipliniertes Sparen und kluge Investitionen.
accumulation	fr	L'accumulation de richesse nécessite une épargne disciplinée et des investissements intelligents.
accumulation	es	La acumulación de riqueza requiere ahorro disciplinado e inversiones inteligentes.
accumulation	it	L'accumulo di ricchezza richiede risparmio disciplinato e investimenti intelligenti.
accumulation	pt	O acúmulo de riqueza requer poupança disciplinada e investimentos inteligentes.
accumulation	ru	Накопление богатства требует дисциплинированных сбережений и умных инвестиций.
accumulation	ar	يتطلب تراكم الثروة الادخار المنضبط والاستثمارات الذكية.
accumulation	hi	धन संचय के लिए अनुशासित बचत और बुद्धिमान निवेश की आवश्यकता होती है।
accumulation	ja	富の蓄積には規律のある貯蓄と賢明な投資が必要です。
accumulation	zh	财富积累需要有纪律的储蓄和明智的投资。
achievement	de	Das Gewinnen der Meisterschaft war die größte Leistung des Teams in diesem Jahr.
achievement	fr	Remporter le championnat était le plus grand accomplissement de l'équipe cette année.
achievement	es	Ganar el campeonato fue el mayor logro del equipo este año.
achievement	it	Vincere il campionato è stato il più grande successo della squadra quest'anno.
achievement	pt	Ganhar o campeonato foi a maior conquista da equipe este ano.
achievement	ru	Победа в чемпионате была величайшим достижением команды в этом году.
achievement	ar	كان الفوز بالبطولة أعظم إنجاز للفريق هذا العام.
achievement	hi	चैंपियनशिप जीतना इस साल टीम की सबसे बड़ी उपलब्धि थी।
achievement	ja	チャンピオンシップの勝利は今年のチームの最大の成果でした。
achievement	zh	赢得冠军是该队今年最大的成就。
acid	de	Batteriesäure ist extrem gefährlich und erfordert Schutzausrüstung.
acid	fr	L'acide de batterie est extrêmement dangereux et nécessite un équipement de protection.
acid	es	El ácido de batería es extremadamente peligroso y requiere equipo de protección.
acid	it	L'acido della batteria è estremamente pericoloso e richiede attrezzature protettive.
acid	pt	O ácido da bateria é extremamente perigoso e requer equipamento de proteção.
acid	ru	Аккумуляторная кислота чрезвычайно опасна и требует защитного оборудования.
acid	ar	حمض البطارية خطير للغاية ويتطلب معدات واقية.
acid	hi	बैटरी एसिड अत्यंत खतरनाक है और इसके लिए सुरक्षा उपकरण की आवश्यकता होती है।
acid	ja	バッテリー酸は非常に危険で、保護装備が必要です。
acid	zh	电池酸极其危险，需要防护设备。
acquaintance	de	Ich traf heute im Café einen alten Bekannten aus dem College.
acquaintance	fr	J'ai rencontré une vieille connaissance de l'université au café aujourd'hui.
acquaintance	es	Conocí a un viejo conocido de la universidad en la cafetería hoy.
acquaintance	it	Ho incontrato un vecchio conoscente del college al caffè oggi.
acquaintance	pt	Encontrei um velho conhecido da faculdade no café hoje.
acquaintance	ru	Я встретил старого знакомого из колледжа в кафе сегодня.
acquaintance	ar	التقيت بمعارف قديم من الكلية في المقهى اليوم.
acquaintance	hi	मैंने आज कॉफी शॉप में कॉलेज के एक पुराने परिचित से मुलाकात की।
acquaintance	ja	今日、コーヒーショップで大学時代の旧知の人に会いました。
acquaintance	zh	我今天在咖啡店遇到了大学时的一个老熟人。
acquisition	de	Googles Übernahme von YouTube veränderte das Online-Video-Sharing.
acquisition	fr	L'acquisition de YouTube par Google a transformé le partage de vidéos en ligne.
acquisition	es	La adquisición de YouTube por parte de Google transformó el intercambio de videos en línea.
acquisition	it	L'acquisizione di YouTube da parte di Google ha trasformato la condivisione di video online.
acquisition	pt	A aquisição do YouTube pelo Google transformou o compartilhamento de vídeos online.
acquisition	ru	Приобретение YouTube компанией Google изменило онлайн-обмен видео.
acquisition	ar	غيّر استحواذ جوجل على يوتيوب مشاركة الفيديو عبر الإنترنت.
acquisition	hi	गूगल के यूट्यूब के अधिग्रहण ने ऑनलाइन वीडियो साझाकरण को बदल दिया।
acquisition	ja	GoogleのYouTube買収はオンライン動画共有を変革しました。
acquisition	zh	谷歌收购YouTube改变了在线视频分享。
acquittal	de	Nach Prüfung aller Beweise kam die Jury zu einem Freispruch.
acquittal	fr	Après avoir examiné toutes les preuves, le jury a rendu un verdict d'acquittement.
acquittal	es	Después de revisar todas las pruebas, el jurado llegó a un veredicto de absolución.
acquittal	it	Dopo aver esaminato tutte le prove, la giuria ha raggiunto un verdetto di assoluzione.
acquittal	pt	Após revisar todas as evidências, o júri chegou a um veredicto de absolvição.
acquittal	ru	После рассмотрения всех доказательств присяжные вынесли оправдательный вердикт.
acquittal	ar	بعد مراجعة جميع الأدلة، توصلت هيئة المحلفين إلى حكم بالبراءة.
acquittal	hi	सभी सबूतों की समीक्षा के बाद, जूरी ने बरी करने का फैसला दिया।
acquittal	ja	すべての証拠を検討した後、陪審員は無罪の評決に達しました。
acquittal	zh	在审查了所有证据后，陪审团做出了无罪判决。
acre	de	Landwirte pflanzen normalerweise Mais auf jedem verfügbaren Morgen ihres Landes.
acre	fr	Les agriculteurs plantent généralement du maïs sur chaque acre disponible de leurs terres.
acre	es	Los agricultores típicamente plantan maíz en cada acre disponible de su tierra.
acre	it	I contadini piantano tipicamente mais su ogni acro disponibile della loro terra.
acre	pt	Os agricultores normalmente plantam milho em cada acre disponível de sua terra.
acre	ru	Фермеры обычно сажают кукурузу на каждом доступном акре своей земли.
acre	ar	عادة ما يزرع المزارعون الذرة في كل فدان متاح من أراضيهم.
acre	hi	किसान आमतौर पर अपनी भूमि के हर उपलब्ध एकड़ में मक्का लगाते हैं।
acre	ja	農家は通常、利用可能な土地の全エーカーにトウモロコシを植えます。
acre	zh	农民通常在他们土地的每一英亩都种植玉米。
act	de	Seine großzügige Tat, Fremden zu helfen, machte alle stolz.
act	fr	Son acte généreux d'aider des étrangers a rendu tout le monde fier.
act	es	Su acto generoso de ayudar a extraños hizo que todos se sintieran orgullosos.
act	it	Il suo atto generoso di aiutare degli estranei ha reso tutti orgogliosi.
act	pt	Seu ato generoso de ajudar estranhos deixou todos orgulhosos.
act	ru	Его щедрый поступок помощи незнакомцам сделал всех гордыми.
act	ar	جعل عمله السخي في مساعدة الغرباء الجميع فخورين.
act	hi	अजनबियों की मदद करने के उनके उदार कार्य ने सभी को गर्वित किया।
act	ja	見知らぬ人を助ける彼の寛大な行為は皆を誇らしく思わせました。
act	zh	他帮助陌生人的慷慨行为让每个人都感到骄傲。
acting	de	Sie entschied sich, nach ihrem Abschluss an der Schauspielschule eine Karriere in der Schauspielerei zu verfolgen.
acting	fr	Elle a décidé de poursuivre une carrière d'actrice après avoir obtenu son diplôme de l'école de théâtre.
acting	es	Decidió seguir una carrera en actuación después de graduarse de la escuela de teatro.
acting	it	Ha deciso di intraprendere una carriera nella recitazione dopo essersi laureata alla scuola di teatro.
acting	pt	Ela decidiu seguir uma carreira na atuação após se formar na escola de teatro.
acting	ru	Она решила заняться актерской карьерой после окончания театральной школы.
acting	ar	قررت متابعة مهنة في التمثيل بعد تخرجها من مدرسة المسرح.
acting	hi	उसने ड्रामा स्कूल से स्नातक होने के बाद अभिनय में करियर बनाने का फैसला किया।
acting	ja	彼女は演劇学校を卒業後、演技のキャリアを追求することを決めました。
acting	zh	她决定在戏剧学校毕业后从事表演事业。
action	de	Schnelles Handeln rettete das Unternehmen vor dem Bankrott.
action	fr	Une action rapide a sauvé l'entreprise de la faillite.
action	es	La acción rápida salvó a la empresa de la bancarrota.
action	it	Un'azione rapida ha salvato l'azienda dalla bancarotta.
action	pt	A ação rápida salvou a empresa da falência.
action	ru	Быстрые действия спасли компанию от банкротства.
action	ar	أنقذ الإجراء السريع الشركة من الإفلاس.
action	hi	त्वरित कार्रवाई ने कंपनी को दिवालियापन से बचाया।
action	ja	迅速な行動が会社を破産から救いました。
action	zh	迅速行动拯救了公司免于破产。
activity	de	Lesen ist ihre Lieblingsbeschäftigung an den Wochenenden.
activity	fr	La lecture est son activité favorite pendant les après-midis de week-end.
activity	es	Leer es su actividad favorita durante las tardes de fin de semana.
activity	it	Leggere è la sua attività preferita durante i pomeriggi del weekend.
activity	pt	Ler é sua atividade favorita durante as tardes de fim de semana.
activity	ru	Чтение - её любимое занятие в выходные дни.
activity	ar	القراءة هي نشاطها المفضل خلال فترات بعد الظهر في عطلة نهاية الأسبوع.
activity	hi	पढ़ना सप्ताहांत की दोपहर में उसकी पसंदीदा गतिविधि है।
activity	ja	読書は週末の午後の彼女のお気に入りの活動です。
activity	zh	阅读是她周末下午最喜欢的活动。
actor	de	Tom Hanks ist ein Schauspieler, der für seine Vielseitigkeit bekannt ist.
actor	fr	Tom Hanks est un acteur connu pour sa polyvalence.
actor	es	Tom Hanks es un actor conocido por su versatilidad.
actor	it	Tom Hanks è un attore noto per la sua versatilità.
actor	pt	Tom Hanks é um ator conhecido por sua versatilidade.
actor	ru	Том Хэнкс - актер, известный своей универсальностью.
actor	ar	توم هانكس ممثل معروف بتنوعه.
actor	hi	टॉम हैंक्स एक अभिनेता है जो अपनी बहुमुखी प्रतिभा के लिए जाना जाता है।
actor	ja	トム・ハンクスは多才さで知られる俳優です。
actor	zh	汤姆·汉克斯是一位以多才多艺著称的演员。
actress	de	Meryl Streep wurde Schauspielerin, nachdem sie Drama an Yale studiert hatte.
actress	fr	Meryl Streep est devenue actrice après avoir étudié l'art dramatique à Yale.
actress	es	Meryl Streep se convirtió en actriz después de estudiar teatro en Yale.
actress	it	Meryl Streep è diventata attrice dopo aver studiato teatro a Yale.
actress	pt	Meryl Streep se tornou atriz após estudar teatro em Yale.
actress	ru	Мерил Стрип стала актрисой после изучения драмы в Йеле.
actress	ar	أصبحت ميريل ستريب ممثلة بعد دراسة المسرح في ييل.
actress	hi	मेरिल स्ट्रीप येल में ड्रामा की पढ़ाई के बाद अभिनेत्री बनीं।
actress	ja	メリル・ストリープはイェール大学で演劇を学んだ後に女優になりました。
actress	zh	梅丽尔·斯特里普在耶鲁大学学习戏剧后成为了演员。
actuality	de	Theorie ist eine Sache, aber die Wirklichkeit erweist sich oft als komplizierter als erwartet.
actuality	fr	La théorie est une chose, mais la réalité s'avère souvent plus compliquée que prévu.
actuality	es	La teoría es una cosa, pero la realidad a menudo resulta más complicada de lo esperado.
