en	translation	gender	meaning_translation
amateur	amador	m	Uma pessoa que se dedica a uma atividade por prazer
amber	âmbar	m	Resina fossilizada translúcida dura
ambiguity	ambiguidade	f	A qualidade de estar aberta a mais de uma interpretação
ambition	ambição	f	Um forte desejo de fazer ou alcançar algo
amendment	emenda	f	Uma pequena mudança para melhorar um texto
America	América	f	Uma massa de terra compreendendo os continentes do Norte e do Sul
American	americano	m	Um nativo ou cidadão dos Estados Unidos
amethyst	ametista	f	Uma pedra preciosa de variedade violeta ou roxa de quartzo
ammunition	munição	f	Um suprimento de balas e projéteis
amnesty	anistia	f	Um perdão oficial para pessoas condenadas
amount	quantia	f	Uma quantidade de algo
ampere	ampere	m	A unidade básica de corrente elétrica
amplitude	amplitude	f	A extensão máxima de uma vibração ou oscilação
amusement	diversão	f	O estado de achar algo engraçado ou divertido
anagram	anagrama	m	Uma palavra formada rearranjando as letras de outra palavra
analogy	analogia	f	Uma comparação entre duas coisas para explicação
analysis	análise	f	Exame detalhado dos elementos de algo
anarchy	anarquia	f	Um estado de desordem devido à ausência de autoridade
anatomy	anatomia	f	O ramo da ciência sobre estrutura corporal
ancestor	ancestral	m	Uma pessoa da qual se descende
angel	anjo	m	Um ser espiritual que age como mensageiro de Deus
anger	raiva	f	Um forte sentimento de aborrecimento ou hostilidade
angle	ângulo	m	O espaço entre duas linhas ou superfícies que se cruzam
animal	animal	m	Um organismo vivo que se alimenta de matéria orgânica
animation	animação	f	O estado de estar cheio de vida
ankle	tornozelo	m	A articulação que conecta o pé com a perna
anniversary	aniversário	m	A data em que um evento ocorreu em um ano anterior
announcement	anúncio	m	Uma declaração pública sobre um fato
announcer	locutor	m	Uma pessoa que anuncia algo
annoyance	aborrecimento	m	O sentimento de estar aborrecido
answer	resposta	f	Uma coisa dita para reagir a uma pergunta
ant	formiga	f	Um pequeno inseto que vive em colônias complexas
antarctic	Antártida	f	A região ao redor do Polo Sul
antelope	antílope	m	Um mamífero ruminante parecido com veado
anthem	hino	m	Uma canção edificante identificada com um grupo
anthropology	antropologia	f	O estudo das sociedades e culturas humanas
antibiotic	antibiótico	m	Um medicamento que inibe o crescimento de microorganismos
antibody	anticorpo	m	Uma proteína sanguínea produzida para combater antígenos
anticipation	antecipação	f	A ação de antecipar algo
antidote	antídoto	m	Um medicamento para neutralizar um veneno
antique	antiguidade	f	Um objeto colecionável de alto valor pela idade
antiquity	antiguidade	f	O passado antigo
antiseptic	antisséptico	m	Uma substância que previne o crescimento de microorganismos
anxiety	ansiedade	f	Um sentimento de preocupação sobre algo incerto
anybody	qualquer um	m	Qualquer pessoa
anyone	alguém	m	Qualquer pessoa
anything	qualquer coisa	f	Usado para referir-se a uma coisa
anywhere	qualquer lugar	m	Em ou para qualquer lugar
apartment	apartamento	m	Um conjunto de quartos formando uma residência
apathy	apatia	f	Falta de interesse ou preocupação
ape	macaco	m	Um primata grande sem cauda
aperture	abertura	f	Uma abertura ou buraco
apex	ápice	m	A parte superior ou mais alta de algo
apocalypse	apocalipse	m	A destruição final completa do mundo
apology	desculpa	f	Um reconhecimento de uma ofensa ou falha
apostrophe	apóstrofo	m	Um sinal de pontuação usado para indicar posse
apparatus	aparelho	m	O equipamento técnico necessário para uma atividade
apparel	vestuário	m	Roupas de tipo particular
appeal	apelo	m	Um pedido sério ou urgente
appearance	aparência	f	A maneira como alguém ou algo parece
appetite	apetite	m	Um desejo natural de satisfazer uma necessidade corporal
appetizer	aperitivo	m	Um pequeno prato de comida antes de uma refeição
applause	aplauso	m	Aprovação expressa batendo palmas
apple	maçã	f	A fruta redonda de uma árvore da família das rosas
appliance	eletrodoméstico	m	Um dispositivo projetado para realizar uma tarefa específica
applicant	candidato	m	Uma pessoa que faz uma solicitação formal
application	aplicação	f	Um pedido formal a uma autoridade
appointment	compromisso	m	Um acordo para encontrar alguém em hora e local específicos
appraisal	avaliação	f	Uma avaliação do valor ou qualidade de algo
appreciation	apreciação	f	O reconhecimento das boas qualidades de algo
apprehension	apreensão	f	Ansiedade de que algo ruim aconteça
apprentice	aprendiz	m	Uma pessoa aprendendo um ofício com empregador qualificado
apprenticeship	aprendizado	m	A posição de aprendiz
approach	abordagem	f	Uma maneira de lidar com algo
appropriation	apropriação	f	A ação de tomar algo para uso próprio
approval	aprovação	f	A ação de concordar oficialmente com algo
apricot	damasco	m	Uma fruta com polpa alaranjada amarelada
April	abril	m	O quarto mês do ano
apron	avental	m	Uma peça de proteção usada sobre a roupa
aquatic	aquático	m	Um organismo que vive na ou perto da água
arab	árabe	m	Um membro de um povo semita
arbitration	arbitragem	f	O uso de um árbitro para resolver uma disputa
arc	arco	m	Uma parte da circunferência de uma curva
arch	arco	m	Uma estrutura curva que sustenta peso
archaeologist	arqueólogo	m	Uma pessoa que estuda história humana através de escavações
archaeology	arqueologia	f	O estudo da atividade humana através da análise de artefatos
archer	arqueiro	m	Uma pessoa que atira com arco e flecha
archipelago	arquipélago	m	Um grupo extenso de ilhas
architect	arquiteto	m	Uma pessoa que projeta edifícios
architecture	arquitetura	f	A arte de projetar e construir edifícios
archive	arquivo	m	Uma coleção de documentos históricos
arctic	Ártico	m	As regiões ao redor do Polo Norte
area	área	f	Uma região ou parte de uma cidade ou país
arena	arena	f	Uma área cercada por assentos para espectadores
argument	argumento	m	Uma troca de pontos de vista opostos
aristocracy	aristocracia	f	A classe mais alta em certas sociedades
arithmetic	aritmética	f	O ramo da matemática sobre propriedades de números
arizona	Arizona	m	Um estado na região sudoeste dos Estados Unidos
arm	braço	m	Cada um dos dois membros superiores do corpo humano
armament	armamento	m	Armas e equipamento militares
armor	armadura	f	As coberturas de metal usadas por soldados
army	exército	m	Uma força militar organizada
aroma	aroma	m	Um cheiro distintivo e tipicamente agradável
arrangement	arranjo	m	A ação ou resultado de arranjar algo
array	conjunto	m	Uma exibição impressionante de algo
arrest	prisão	f	A ação de prender alguém
arrival	chegada	f	A ação ou processo de chegar
arrow	flecha	f	Um projétil com ponta e cauda emplumada
arsenal	arsenal	m	Uma coleção de armas e equipamento militar
art	arte	f	A expressão da habilidade criativa humana
artery	artéria	f	Um dos tubos que transportam sangue do coração
artichoke	alcachofra	f	Uma planta mediterrânea com flores comestíveis
article	artigo	m	Um item particular ou objeto
artillery	artilharia	f	Armas de grande calibre usadas em guerra
artist	artista	m	Uma pessoa que produz pinturas ou desenhos
ascent	subida	f	Uma inclinação ou caminho ascendente
ash	cinza	f	O resíduo em pó deixado após queimar algo
Asia	Ásia	f	O maior e mais populoso continente do mundo
aspect	aspecto	m	Uma parte ou característica particular de algo
aspiration	aspiração	f	Uma esperança ou ambição de alcançar algo
aspirin	aspirina	f	Um composto sintético usado para aliviar dor
assault	assalto	m	Um ataque físico			
assembly			
assertion			
assessment			
asset			
assignment			
assistance			
assistant			
associate			
association			
assortment			
assumption			
assurance			
asteroid			
asthma			
astonishment			
astrology			
astronaut			
astronomy			
astrophysics			
asylum			
athlete			
athletics			
atlas			
atmosphere			
atom			
atrocity			
attachment			
attack			
attainment			
attempt			
attendance			
attendant			
attention			
attitude			
attorney			
attraction			
attribute			
auction			
audience			
audit			
audition			
auditor			
auditorium			
August			
aunt			
austerity			
Australia			
Australian			
author			
authority			
auto			
autobiography			
automation			
automobile			
autonomy			
autumn			
availability			
avalanche			
avenue			
average			
aversion			
aviation			
avocado			
award			
awareness			
ax			
axis			
baby			
bachelor			
back			
backache			
backbone			
background			
backing			
backlog			
backup			
bacon			
bacteria			
badge			
badger			
badminton			
bae			
bag			
baggage			
bail			
bailout			
baker			
balance			
ball			
ballad			
ballet			
balloon			
ballot			
bamboo			
ban			
banana			
band			
bandage			
bang			
bank			
banker			
banking			
bankruptcy			
banner			
baptism			
bar			
barbarism			
barbecue			
barber			
bargain			
bark			
barley			
barn			
baroque			
barracks			
barrel			
barrier			
base			
baseball			
basement			
basin			
basis			
basket			
basketball			
bass			
bat			
bath			
bathe			
bathroom			
battalion			
battery			
battle			
battlefield			
battleship			
bay			
beach			
beam			
bean			
bear			
beard			
bearing			
beast			
beat			
beauty			
beaver			
bed			
bedroom			
bedtime			
bee			
beef			
beefsteak			
beer			
beetle			
behavior			
belief			
bell			
bellow			
belly			
beloved			
belt			
bench			
bend			
benefit			
benjamin			
berry			
bestie			
bestseller			
beta			
betrayal			
beverage			
beyond			
bibimbap			
bible			
bibliography			
bicycle			
bid			
biggie			
bill			
billboard			
billiards			
billion			
bin			
bind			
binder			
biochemistry			
biodiversity			
biography			
biologist			
biology			
biophysics			
birch			
bird			
birth			
birthday			
birthrate			
biryani			
biscuit			
bishop			
bit			
bite			
bitter			
black			
blackboard			
blade			
blame			
blanket			
blast			
blaze			
blessing			
blimp			
blind			
blister			
blizzard			
block			
blood			
bloom			
blossom			
blouse			
blow			
blue			
blueberry			
blur			
blush			
board			
boardroom			
boat			
body			
bog			
boil			
bolt			
bomb			
bombardment			
bomber			
bond			
bone			
bonus			
boo			
book			
bookkeeping			
boom			
boot			
booth			
border			
borderline			
borrowing			
borscht			
boss			
botany			
bother			
bottle			
bottom			
bounce			
bounty			
bouquet			
bourgeois			
bout			
bowel			
bowl			
bowling			
box			
boxing			
boy			
boyhood			
brace			
bracelet			
brag			
braid			
brain			
brake			
branch			
brand			
brandy			
brass			
Brazil			
breach			
bread			
breadth			
break			
breakdown			
breakfast			
breast			
breath			
breeze			
brew			
bribe			
brick			
bride			
bridge			
brief			
brilliant			
brink			
Britain			
broadcast			
broadcasting			
broccoli			
broker			
bronze			
brook			
broth			
brother			
brow			
brown			
browse			
bruise			
brunch			
brush			
brutality			
brute			
bubble			
buck			
bucket			
buckle			
bud			
buddhism			
buddhist			
buddy			
budget			
buff			
buffalo			
bug			
build			
builder			
building			
bulgogi			
bulk			
bull			
bullet			
bun			
bunch			
burden			
bureau			
bureaucracy			
burial			
burn			
bus			
bush			
business			
businessperson			
bustle			
but			
butler			
butt			
butter			
butterfly			
button			
buyer			
buyout			
buzz			
cabbage			
cabinet			
cable			
cactus			
cadet			
cafe			
cage			
cake			
cakewalk			
calamity			
calcium			
calculation			
calculus			
calendar			
calf			
California			
call			
calm			
camel			
camera			
camp			
campaign			
campus			
can			
Canada			
canal			
canary			
cancel			
cancellation			
cancer			
candidate			
candle			
candy			
cane			
canoe			
canon			
canopy			
canvas			
canyon			
cap			
capability			
capacitance			
capacity			
cape			
capital			
capitalism			
captain			
capture			
car			
carbon			
card			
cardinal			
care			
career			
cargo			
caricature			
carnation			
carnival			
carol			
carp			
carpet			
carriage			
carrier			
carrot			
cartoon			
case			
cash			
cast			
caste			
casting			
castle			
casual			
cat			
catalog			
catalyst			
catch			
category			
caterpillar			
cathedral			
catholic			
cattle			
cauliflower			
cause			
caution			
cavalry			
cave			
ceasefire			
cedar			
ceiling			
celebration			
celebrity			
celery			
cell			
cellar			
cello			
cement			
censor			
censorship			
census			
cent			
center			
centimeter			
century			
cereal			
ceremonial			
ceremony			
certainty			
certificate			
chain			
chair			
chairman			
chalk			
challenge			
chamber			
champagne			
champion			
championship			
chance			
chancellor			
change			
channel			
chapati			
chapel			
chapter			
character			
characteristic			
charcoal			
charge			
charity			
charm			
chart			
charter			
chase			
cheat			
check			
checkup			
cheek			
cheer			
cheese			
chemical			
chemist			
chemistry			
cherry			
chess			
chest			
chestnut			
chew			
chick			
chicken			
chickpea			
chief			
child			
childhood			
chill			
chime			
chin			
China			
Chinese			
chip			
chlorine			
chocolate			
choice			
choir			
choke			
chop			
chord			
chore			
chorus			
christ			
christian			
christianity			
Christmas			
chromosome			
chronicle			
chuck			
chump			
church			
cider			
cinema			
circle			
circulation			
circumstance			
circus			
citation			
citizen			
citizenship			
city			
civility			
civilization			
claim			
clam			
clamor			
clamp			
clap			
clash			
class			
classic			
classmate			
classroom			
clatter			
clause			
claw			
clay			
cleaning			
cleanser			
cleanup			
clearance			
clearing			
clench			
clergy			
clergyman			
clerical			
clerk			
client			
cliff			
climate			
climax			
climb			
clinic			
clip			
cloak			
clock			
close			
closet			
closure			
cloth			
clothes			
clothing			
cloud			
clover			
club			
clue			
clutch			
coach			
coal			
coalition			
coast			
coat			
coating			
cock			
cocktail			
cocoa			
coconut			
cod			
code			
coffee			
coffin			
coin			
coincidence			
cola			
cold			
collaboration			
collapse			
collar			
collateral			
colleague			
collection			
college			
colonel			
colony			
color			
coloring			
Colosseum			
column			
comb			
combat			
combination			
comedy			
comer			
comet			
comfort			
comic			
command			
commander			
comment			
commentary			
commerce			
commercial			
commission			
commitment			
committee			
common			
commonwealth			
communication			
communion			
communism			
communist			
community			
companion			
company			
comparative			
comparison			
compass			
compassion			
compensation			
competence			
competition			
compilation			
complaint			
completion			
complexion			
complexity			
complication			
compliment			
composer			
composition			
compost			
compound			
compromise			
compulsion			
computer			
comrade			
conceit			
concentration			
concept			
conception			
concern			
concert			
concession			
conclusion			
concrete			
condemnation			
condition			
condominium			
conduct			
conductor			
conference			
confession			
confidence			
confinement			
conflict			
confusion			
conglomerate			
congratulation			
congregation			
congress			
conjunction			
connection			
conqueror			
conquest			
conscience			
conscious			
consciousness			
conscription			
consequence			
consideration			
consignment			
consistency			
consolation			
consortium			
conspiracy			
constable			
constellation			
constitution			
constraint			
construction			
consulate			
consultancy			
consultation			
consulting			
consumer			
consumption			
contact			
container			
contamination			
contempt			
content			
contention			
contest			
context			
continent			
contingent			
continuation			
continuity			
contour			
contract			
contraction			
contractor			
contrary			
contrast			
contribution			
control			
controversy			
convenience			
convention			
conversation			
converse			
conversion			
conveyance			
conviction			
cook			
cookery			
cookie			
cooking			
cool			
cooperation			
coordinate			
cop			
copper			
copy			
copyright			
coral			
cord			
cordial			
core			
cork			
corn			
corner			
corporal			
corporation			
corps			
correction			
correlation			
correspondence			
correspondent			
corridor			
corruption			
cosmetic			
cosmos			
cost			
costume			
cottage			
cotton			
couch			
cough			
council			
counsel			
counseling			
count			
countenance			
counter			
country			
countryside			
county			
coup			
couple			
courage			
courier			
course			
court			
courtesy			
courthouse			
courtroom			
courtship			
cousin			
cover			
coverage			
cow			
coward			
crab			
crack			
cracker			
cradle			
craft			
cram			
cramp			
crane			
crash			
crawl			
cream			
creation			
creator			
creature			
credit			
creditor			
creed			
creek			
creep			
crescent			
crew			
crib			
crime			
criminal			
crisis			
criterion			
critic			
criticism			
crocodile			
crop			
cross			
crossing			
crouch			
crow			
crowd			
crown			
cruelty			
cruise			
crumb			
crunch			
crusade			
crush			
crust			
crutch			
cry			
crystal			
cube			
cuckoo			
cucumber			
cuddle			
cuff			
cult			
cultivation			
culture			
cup			
cure			
curfew			
curiosity			
curl			
currency			
current			
curriculum			
curry			
curse			
curtain			
curve			
cushion			
custard			
custody			
custom			
customer			
cut			
cutback			
cycle			
cycling			
dad			
daffodil			
daily			
dairy			
daisy			
dam			
damage			
damn			
dance			
dancer			
dandelion			
danger			
dare			
dark			
darkness			
darling			
dart			
dash			
data			
database			
date			
daughter			
dawn			
day			
daybreak			
daylight			
daytime			
daze			
dazzle			
dead			
deadline			
deadlock			
deal			
dealer			
dealership			
dealing			
dear			
death			
debate			
debt			
debtor			
decade			
deceit			
December			
decency			
deception			
decision			
deck			
declaration			
decline			
decoration			
decrease			
decree			
dedication			
deduction			
deep			
deer			
default			
defeat			
defect			
defendant			
defense			
deficiency			
deficit			
definition			
deflation			
degree			
deity			
delay			
delegate			
delegation			
delicacy			
delight			
delivery			
delta			
deluge			
demand			
democracy			
demonstration			
denial			
denim			
denomination			
density			
dentist			
department			
departure			
dependency			
deportation			
deposit			
deposition			
depreciation			
depression			
depth			
deputy			
deregulation			
descent			
description			
desert			
design			
designation			
designer			
desire			
desk			
desktop			
despair			
dessert			
destination			
destiny			
destruction			
detachment			
detail			
detection			
detective			
determination			
devaluation			
developer			
development			
device			
devil			
devotion			
dew			
diabetes			
diagnosis			
diagram			
dial			
dialogue			
diamond			
diaper			
diary			
dice			
dictation			
dictatorship			
dictionary			
die			
diet			
difference			
difficulty			
diffraction			
dig			
digestion			
dignity			
dime			
dimension			
dining			
dinner			
dinosaur			
dip			
diploma			
diplomacy			
diplomat			
direction			
director			
directory			
dirt			
disability			
disadvantage			
disagreement			
disappointment			
disapproval			
disarmament			
disaster			
discard			
discharge			
discipline			
disclosure			
disco			
discomfort			
discord			
discount			
discouragement			
discourse			
discovery			
discredit			
discrimination			
discussion			
disease			
disgrace			
disgust			
dish			
dishonor			
disk			
dismissal			
disorder			
dispatch			
displacement			
display			
disposal			
disposition			
dispute			
dissatisfaction			
dissolution			
distance			
distinction			
distortion			
distraction			
distress			
distribution			
distributor			
district			
disturbance			
ditch			
diversion			
diversity			
dividend			
divinity			
division			
divorce			
dock			
doctor			
doctrine			
document			
dog			
dogma			
doll			
dollar			
dolphin			
domain			
domestic			
domination			
dominion			
don			
donation			
donkey			
donut			
doom			
door			
doorway			
dope			
dork			
dormitory			
dose			
dot			
double			
doubt			
down			
downtown			
dozen			
draft			
dragon			
drama			
drawer			
drawing			
dream			
dress			
drill			
drink			
drive			
driver			
drop			
drug			
drugstore			
drum			
duck			
duckling			
due			
duke			
dump			
dumpling			
duration			
dust			
duty			
dynamics			
dynasty			
each			
eagle			
ear			
early			
earth			
earthquake			
east			
echo			
economics			
economy			
edge			
edition			
editor			
education			
eel			
effect			
effectiveness			
efficiency			
effort			
egg			
ego			
eight			
either			
elbow			
election			
electricity			
electronics			
element			
elephant			
elevator			
elimination			
email			
emergency			
emission			
emotion			
emperor			
emphasis			
empire			
employee			
employer			
employment			
end			
ending			
endowment			
endurance			
enemy			
energy			
enforcement			
engagement			
engineer			
England			
English			
enjoyment			
enlargement			
enlightenment			
enrollment			
ensemble			
entail			
enterprise			
entertainment			
enthusiasm			
entity			
entrance			
entry			
environment			
envy			
enzyme			
epidemic			
episode			
epoch			
equality			
equation			
equator			
equipment			
equity			
eraser			
erection			
error			
eruption			
escape			
escort			
essence			
establishment			
estate			
esteem			
estimate			
estimation			
eternal			
eternity			
ethic			
etiquette			
euphemism			
euro			
Europe			
evacuation			
eve			
evening			
event			
evergreen			
everlasting			
evidence			
evil			
evolution			
ex			
exaggeration			
exam			
examination			
example			
exception			
excess			
exchange			
excitement			
exclamation			
excursion			
excuse			
execution			
executive			
exemption			
exercise			
exertion			
exhaust			
exhibition			
exile			
existence			
exodus			
expanse			
expansion			
expectation			
expedition			
expenditure			
expense			
experience			
experiment			
expert			
explanation			
explosion			
export			
exposition			
exposure			
express			
expression			
extension			
extent			
exterior			
extinction			
extract			
extraction			
extravagance			
extreme			
extremist			
eye			
fable			
fabric			
face			
facility			
facing			
facsimile			
fact			
faction			
factor			
factory			
failure			
fair			
fairness			
fairy			
faith			
fake			
falcon			
fall			
falsehood			
fame			
familiarity			
family			
famine			
fan			
fancy			
fantasy			
fare			
farewell			
farm			
farmer			
farmhand			
farmhouse			
farming			
farmland			
fascination			
fascism			
fashion			
fat			
fatality			
fate			
father			
fatigue			
fault			
favor			
favorite			
fear			
feast			
feather			
feature			
February			
federation			
fee			
feed			
feedback			
feel			
feeling			
fellow			
fellowship			
felony			
fence			
ferment			
fern			
fertilizer			
festival			
festivity			
fever			
fiber			
fiction			
fidelity			
field			
fifteen			
fifteenth			
fifth			
fiftieth			
fifty			
fig			
fight			
fighter			
figure			
fill			
film			
finance			
fine			
finger			
finish			
fir			
fire			
firework			
firm			
first			
fish			
fishery			
fishing			
fist			
fit			
fitness			
five			
fix			
flag			
flair			
flame			
flap			
flare			
flash			
flat			
flavor			
flavoring			
flea			
flesh			
flextime			
flick			
flicker			
flight			
fling			
flint			
flock			
flood			
floor			
flop			
flour			
flow			
flower			
fluid			
flurry			
flush			
flute			
flutter			
flux			
fly			
focus			
fodder			
fog			
foil			
fold			
folk			
folly			
food			
fool			
foot			
football			
force			
fore			
forefront			
foreground			
forehead			
foreigner			
foresight			
forest			
fork			
form			
formality			
formation			
formula			
formulation			
fort			
forth			
fortieth			
fortune			
forty			
fossil			
foster			
foul			
foundation			
four			
fourteen			
fourteenth			
fourth			
fowl			
fox			
fraction			
fracture			
frame			
franchise			
frank			
fraternity			
fraud			
fray			
freak			
freebie			
freedom			
freeze			
freight			
French			
frequency			
fret			
Friday			
friend			
friendship			
fright			
frill			
front			
fruit			
fuel			
fun			
fund			
funeral			
future			
gain			
game			
garage			
garden			
gas			
gate			
gear			
gender			
generation			
gift			
girl			
glass			
goal			
god			
gold			
golf			
government			
grade			
grandfather			
grandmother			
grant			
grass			
ground			
group			
growth			
guard			
guess			
guest			
guide			
guilt			
habit			
hair			
half			
hall			
hand			
handle			
happiness			
harm			
hat			
hate			
head			
health			
hearing			
heart			
heat			
heaven			
height			
hell			
help			
hero			
hill			
hint			
history			
hobby			
hold			
hole			
holiday			
home			
honey			
honor			
hope			
horror			
horse			
hospital			
host			
hotel			
hour			
house			
housing			
human			
humor			
hunger			
hunt			
hurt			
husband			
ice			
idea			
identity			
ideology			
illness			
imagination			
impact			
implication			
import			
importance			
impression			
improvement			
inch			
income			
increase			
independence			
indication			
individual			
industry			
infection			
inflation			
influence			
information			
initiative			
injury			
innovation			
inquiry			
insect			
inspiration			
installation			
instance			
institution			
instruction			
insurance			
intelligence			
intention			
interest			
interior			
interpretation			
interview			
introduction			
invasion			
investment			
invitation			
involvement			
iron			
island			
issue			
Italy			
itch			
ivory			
ivy			
jack			
jacket			
jail			
jam			
January			
Japan			
Japanese			
jar			
jaw			
jazz			
jealousy			
jeans			
jelly			
jellyfish			
jerk			
jesus			
jewel			
jewelry			
job			
jock			
jogging			
john			
jot			
journal			
journalism			
journalist			
journey			
joy			
judge			
judgement			
judgment			
judiciary			
jug			
juice			
July			
jump			
jumper			
junction			
June			
jungle			
junior			
jupiter			
jurisdiction			
juror			
jury			
justice			
key			
kick			
kid			
kill			
kind			
king			
kitchen			
knee			
knife			
labor			
lack			
lady			
lake			
land			
