en	meaning_en	target_lang	translation	gender	ui_lang	trick_text_en	trick_text_translated	status
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	es		Representa el abrazo maternal de un lugar sagrado que protege y nutre a quienes buscan.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	fr		Représente l'étreinte maternelle d'un lieu sacré qui protège et nourrit les chercheurs.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	hi		पवित्र स्थान के मातृत्व आलिंगन का प्रतिनिधित्व करता है जो साधकों की सुरक्षा और पोषण करता है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	it		Rappresenta l'abbraccio materno di un luogo sacro che protegge e nutre i cercatori.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	ja		精神的な導きを求める人々を保護し育む神聖な場所の母性的な抱擁を表すため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	pt		Representa o abraço maternal de um lugar sagrado que protege e nutre os buscadores.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	ru		Представляет материнские объятия священного места, которое защищает и питает ищущих.	ready
abbey	a building or buildings occupied by a community of monks or nuns	es	abadía	f	zh		代表神圣场所的母性拥抱，保护和培育寻求者。	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	ar		يمثل ملاذاً أمومياً حيث الأمهات والآباء الروحيون يقدمون العناية والحماية.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	de		Stellt ein nährendes, mütterliches Heiligtum dar, wo geistliche Mütter und Väter Fürsorge bieten.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	en	Represents a nurturing, maternal sanctuary where spiritual mothers and fathers provide care and shelter.		draft
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	es		Representa un santuario maternal donde madres y padres espirituales brindan cuidado y refugio.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	fr		Représente un sanctuaire maternel où les mères et pères spirituels prodiguent soins et protection.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	hi		एक पोषक, मातृत्व अभयारण्य का प्रतिनिधित्व करता है जहाँ आध्यात्मिक माताएँ देखभाल प्रदान करती हैं।	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	it		Rappresenta un santuario materno dove madri e padri spirituali forniscono cura e protezione.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	ja		精神的な母と父が世話と保護を提供する、育み深い母性的聖域を表すため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	pt		Representa um santuário maternal onde mães e pais espirituais oferecem cuidado e proteção.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	ru		Представляет заботливое, материнское святилище, где духовные матери и отцы обеспечивают заботу.	ready
abbey	a building or buildings occupied by a community of monks or nuns	fr	abbaye	f	zh		代表充满关爱的母性圣所，精神上的母亲和父亲提供照顾和保护。	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	ar		يمثل المؤسسة الروحية القوية والمنضبطة التي تقودها السلطات الدينية الذكورية.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	de		Stellt die starke, disziplinierte spirituelle Institution dar, die von männlichen religiösen Autoritäten geleitet wird.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	en	Represents the strong, disciplined spiritual institution led by male religious authorities.		draft
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	es		Representa la institución espiritual fuerte y disciplinada dirigida por autoridades religiosas masculinas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	fr		Représente l'institution spirituelle forte et disciplinée dirigée par les autorités religieuses masculines.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	hi		पुरुष धार्मिक अधिकारियों द्वारा संचालित मजबूत, अनुशासित आध्यात्मिक संस्थान का प्रतिनिधित्व करता है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	it		Rappresenta l'istituzione spirituale forte e disciplinata guidata da autorità religiose maschili.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	ja		男性宗教指導者によって導かれる強固で規律のある精神的制度を表すため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	pt		Representa a instituição espiritual forte e disciplinada liderada por autoridades religiosas masculinas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	ru		Представляет сильную, дисциплинированную духовную институцию под руководством мужских религиозных авторитетов.	ready
abbey	a building or buildings occupied by a community of monks or nuns	hi	मठ	m	zh		代表由男性宗教权威领导的强大、有纪律的精神机构。	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	ar		ترمز للحماية الأمومية والرعاية المغذية التي يوفرها المقدس الديني.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	de		Symbolisiert den mütterlichen Schutz und die nährende Fürsorge eines religiösen Heiligtums.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	en	Symbolizes the motherly protection and nurturing care provided by a religious sanctuary.		draft
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	es		Simboliza la protección maternal y el cuidado nutritivo proporcionado por un santuario religioso.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	fr		Symbolise la protection maternelle et les soins nourriciers fournis par un sanctuaire religieux.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	hi		धार्मिक अभयारण्य द्वारा प्रदान की जाने वाली मातृत्व सुरक्षा और पोषक देखभाल का प्रतीक है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	it		Simboleggia la protezione materna e la cura nutritiva fornita da un santuario religioso.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	ja		宗教的聖域によって提供される母性的保護と育成的世話を象徴するため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	pt		Simboliza a proteção maternal e o cuidado nutritivo fornecido por um santuário religioso.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	ru		Символизирует материнскую защиту и питающую заботу религиозного святилища.	ready
abbey	a building or buildings occupied by a community of monks or nuns	it	abbazia	f	zh		象征着宗教圣所提供的母性保护和培育关怀。	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	ar		يمثل المقدس الأمومي الذي يوفر الملجأ الروحي مثل الأم الحامية.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	de		Stellt das mütterliche Heiligtum dar, das spirituelle Zuflucht wie eine schützende Mutter bietet.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	en	Represents the maternal sanctuary that provides spiritual shelter like a protective mother.		draft
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	es		Representa el santuario maternal que proporciona refugio espiritual como una madre protectora.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	fr		Représente le sanctuaire maternel qui fournit refuge spirituel comme une mère protectrice.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	hi		मातृत्व अभयارण्य का प्रतिनिधित्व करता है जो सुरक्षात्मक माँ की तरह आध्यात्मिक आश्रय प्रदान करता है।	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	it		Rappresenta il santuario materno che fornisce rifugio spirituale come una madre protettiva.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	ja		保護的な母のように精神的な避難所を提供する母性的聖域を表すため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	pt		Representa o santuário maternal que fornece refúgio espiritual como uma mãe protetora.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	ru		Представляет материнское святилище, которое обеспечивает духовное убежище как защищающая мать.	ready
abbey	a building or buildings occupied by a community of monks or nuns	pt	abadia	f	zh		代表像保护性母亲一样提供精神庇护的母性圣所。	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	ar		يمثل مفهوماً مجرداً لمؤسسة روحية بدلاً من التركيز على الأشخاص.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	de		Stellt ein abstraktes Konzept einer spirituellen Institution dar, nicht die Menschen darin.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	en	Represents an abstract concept of spiritual institution rather than focusing on people.		draft
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	es		Representa un concepto abstracto de institución espiritual en lugar de enfocarse en las personas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	fr		Représente un concept abstrait d'institution spirituelle plutôt que de se concentrer sur les personnes.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	hi		आध्यात्मिक संस्थान की अमूर्त अवधारणा का प्रतिनिधित्व करता है, लोगों पर ध्यान केंद्रित करने के बजाय।	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	it		Rappresenta un concetto astratto di istituzione spirituale piuttosto che concentrarsi sulle persone.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	ja		人々に焦点を当てるのではなく、精神的制度の抽象的概念を表すため。	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	pt		Representa um conceito abstrato de instituição espiritual em vez de focar nas pessoas.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	ru		Представляет абстрактную концепцию духовного института, а не сосредоточивается на людях.	ready
abbey	a building or buildings occupied by a community of monks or nuns	ru	аббатство	n	zh		代表精神机构的抽象概念，而非专注于其中的人们。	ready
ability	possession of the means or skill to do something	ar	قدرة	f	ar			empty
ability	possession of the means or skill to do something	ar	قدرة	f	de			empty
ability	possession of the means or skill to do something	ar	قدرة	f	en			empty
ability	possession of the means or skill to do something	ar	قدرة	f	es			empty
ability	possession of the means or skill to do something	ar	قدرة	f	fr			empty
ability	possession of the means or skill to do something	ar	قدرة	f	hi			empty
ability	possession of the means or skill to do something	ar	قدرة	f	it			empty
ability	possession of the means or skill to do something	ar	قدرة	f	ja			empty
ability	possession of the means or skill to do something	ar	قدرة	f	pt			empty
ability	possession of the means or skill to do something	ar	قدرة	f	ru			empty
ability	possession of the means or skill to do something	ar	قدرة	f	zh			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	ar			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	de			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	en			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	es			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	fr			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	hi			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	it			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	ja			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	pt			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	ru			empty
ability	possession of the means or skill to do something	de	Fähigkeit	f	zh			empty
ability	possession of the means or skill to do something	es	capacidad	f	ar			empty
ability	possession of the means or skill to do something	es	capacidad	f	de			empty
ability	possession of the means or skill to do something	es	capacidad	f	en			empty
ability	possession of the means or skill to do something	es	capacidad	f	es			empty
ability	possession of the means or skill to do something	es	capacidad	f	fr			empty
ability	possession of the means or skill to do something	es	capacidad	f	hi			empty
ability	possession of the means or skill to do something	es	capacidad	f	it			empty
ability	possession of the means or skill to do something	es	capacidad	f	ja			empty
ability	possession of the means or skill to do something	es	capacidad	f	pt			empty
ability	possession of the means or skill to do something	es	capacidad	f	ru			empty
ability	possession of the means or skill to do something	es	capacidad	f	zh			empty
ability	possession of the means or skill to do something	fr	capacité	f	ar			empty
ability	possession of the means or skill to do something	fr	capacité	f	de			empty
ability	possession of the means or skill to do something	fr	capacité	f	en			empty
ability	possession of the means or skill to do something	fr	capacité	f	es			empty
ability	possession of the means or skill to do something	fr	capacité	f	fr			empty
ability	possession of the means or skill to do something	fr	capacité	f	hi			empty
ability	possession of the means or skill to do something	fr	capacité	f	it			empty
ability	possession of the means or skill to do something	fr	capacité	f	ja			empty
ability	possession of the means or skill to do something	fr	capacité	f	pt			empty
ability	possession of the means or skill to do something	fr	capacité	f	ru			empty
ability	possession of the means or skill to do something	fr	capacité	f	zh			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	ar			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	de			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	en			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	es			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	fr			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	hi			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	it			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	ja			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	pt			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	ru			empty
ability	possession of the means or skill to do something	hi	क्षमता	f	zh			empty
ability	possession of the means or skill to do something	it	capacità	f	ar			empty
ability	possession of the means or skill to do something	it	capacità	f	de			empty
ability	possession of the means or skill to do something	it	capacità	f	en			empty
ability	possession of the means or skill to do something	it	capacità	f	es			empty
ability	possession of the means or skill to do something	it	capacità	f	fr			empty
ability	possession of the means or skill to do something	it	capacità	f	hi			empty
ability	possession of the means or skill to do something	it	capacità	f	it			empty
ability	possession of the means or skill to do something	it	capacità	f	ja			empty
ability	possession of the means or skill to do something	it	capacità	f	pt			empty
ability	possession of the means or skill to do something	it	capacità	f	ru			empty
ability	possession of the means or skill to do something	it	capacità	f	zh			empty
ability	possession of the means or skill to do something	pt	capacidade	f	ar			empty
ability	possession of the means or skill to do something	pt	capacidade	f	de			empty
ability	possession of the means or skill to do something	pt	capacidade	f	en			empty
ability	possession of the means or skill to do something	pt	capacidade	f	es			empty
ability	possession of the means or skill to do something	pt	capacidade	f	fr			empty
ability	possession of the means or skill to do something	pt	capacidade	f	hi			empty
ability	possession of the means or skill to do something	pt	capacidade	f	it			empty
ability	possession of the means or skill to do something	pt	capacidade	f	ja			empty
ability	possession of the means or skill to do something	pt	capacidade	f	pt			empty
ability	possession of the means or skill to do something	pt	capacidade	f	ru			empty
ability	possession of the means or skill to do something	pt	capacidade	f	zh			empty
ability	possession of the means or skill to do something	ru	способность	f	ar			empty
ability	possession of the means or skill to do something	ru	способность	f	de			empty
ability	possession of the means or skill to do something	ru	способность	f	en			empty
ability	possession of the means or skill to do something	ru	способность	f	es			empty
ability	possession of the means or skill to do something	ru	способность	f	fr			empty
ability	possession of the means or skill to do something	ru	способность	f	hi			empty
ability	possession of the means or skill to do something	ru	способность	f	it			empty
ability	possession of the means or skill to do something	ru	способность	f	ja			empty
ability	possession of the means or skill to do something	ru	способность	f	pt			empty
ability	possession of the means or skill to do something	ru	способность	f	ru			empty
ability	possession of the means or skill to do something	ru	способность	f	zh			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	ar			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	de			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	en			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	es			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	fr			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	hi			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	it			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	ja			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	pt			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	ru			empty
abortion	the deliberate termination of a pregnancy	ar	إجهاض	m	zh			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	ar			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	de			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	en			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	es			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	fr			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	hi			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	it			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	ja			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	pt			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	ru			empty
abortion	the deliberate termination of a pregnancy	de	Abtreibung	f	zh			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	ar			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	de			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	en			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	es			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	fr			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	hi			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	it			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	ja			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	pt			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	ru			empty
abortion	the deliberate termination of a pregnancy	es	aborto	m	zh			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	ar			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	de			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	en			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	es			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	fr			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	hi			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	it			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	ja			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	pt			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	ru			empty
abortion	the deliberate termination of a pregnancy	fr	avortement	m	zh			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	ar			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	de			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	en			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	es			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	fr			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	hi			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	it			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	ja			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	pt			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	ru			empty
abortion	the deliberate termination of a pregnancy	hi	गर्भपात	m	zh			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	ar			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	de			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	en			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	es			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	fr			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	hi			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	it			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	ja			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	pt			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	ru			empty
abortion	the deliberate termination of a pregnancy	it	aborto	m	zh			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	ar			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	de			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	en			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	es			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	fr			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	hi			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	it			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	ja			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	pt			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	ru			empty
abortion	the deliberate termination of a pregnancy	pt	aborto	m	zh			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	ar			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	de			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	en			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	es			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	fr			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	hi			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	it			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	ja			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	pt			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	ru			empty
abortion	the deliberate termination of a pregnancy	ru	аборт	m	zh			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	ar			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	de			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	en			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	es			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	fr			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	hi			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	it			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	ja			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	pt			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	ru			empty
absence	lack; not being present; missing; vacancy	ar	غياب	m	zh			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	ar			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	de			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	en			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	es			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	fr			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	hi			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	it			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	ja			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	pt			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	ru			empty
absence	lack; not being present; missing; vacancy	de	Abwesenheit	f	zh			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	ar			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	de			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	en			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	es			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	fr			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	hi			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	it			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	ja			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	pt			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	ru			empty
absence	lack; not being present; missing; vacancy	es	ausencia	f	zh			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	ar			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	de			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	en			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	es			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	fr			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	hi			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	it			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	ja			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	pt			empty
absence	lack; not being present; missing; vacancy	fr	absence	f	ru			empty
