en,meaning_en,example_en
bride,A woman on her wedding day.,"The bride looked beautiful in her white dress."
broadcast,Transmission of programs on radio or television.,"The live broadcast of the concert was watched by millions."
bunch,A number of things growing or fastened together.,"He bought a bunch of bananas from the market."
catalog,A complete list of items,"The new furniture catalog arrived in the mail today."
category,A class or division of things.,"The books are organized by category on the shelves."
civil,Civilian,"He was a civil, not a soldier."
anybody,Person,"Is there anybody who can help me?"
anyone,Individual,"Can anyone answer the question?"
anything,Object,"You can have anything you want from the menu."
anyway,Method,
anywhere,Place,
appliance,A device designed for a particular use.,"A washing machine is a common household appliance."
applicant,A person who applies for something.,"There were over fifty applicants for the job."
appraisal,An assessment of worth or quality.,"The insurance company required an appraisal of the house."
apron,A protective garment worn over clothes while cooking.,"He wore an apron while cooking to keep his clothes clean."
arena,A level area surrounded by seats for spectators.,"The concert was held in a large sports arena."
arrest,The action of seizing someone to hold them in custody.,"The police made an arrest in connection with the robbery."
assistance,Help or support,"He offered his assistance with the project."
athlete,A person who is proficient in sports.,"She is a talented athlete who excels at track and field."
attempt,An effort to achieve or complete something.,"He made an attempt to break the world record."
automobile,A road vehicle powered by an engine.,"The first automobile was invented in the late 19th century."
availability,The quality of being available for use.,"The availability of fresh produce depends on the season."
avenue,"A wide street, typically lined with trees.","The main avenue was lined with shops and cafes."
awareness,Knowledge or perception of a situation.,"There is a growing awareness of environmental issues."
bachelor,An unmarried man,"He remained a bachelor his entire life."
balloon,A flexible bag filled with gas or air.,"The child held a bright red balloon."
ban,An official prohibition on something.,"The city imposed a ban on smoking in public parks."
basement,The floor of a building below ground level.,"They stored their old furniture in the basement."
bee,A flying insect that produces honey.,"A bee was buzzing around the flowers."
bin,A container for storage or waste.,"Please put the rubbish in the bin."
blame,Responsibility for a fault or wrong.,"He took the blame for the mistake."
brand,A type of product made by a company.,"What brand of coffee do you prefer?"
bullet,A projectile fired from a gun.,"The detective found a bullet at the crime scene."
buyer,A person who purchases something.,"The buyer was pleased with the purchase."
call,Shout,"I heard a loud call from the other room."
chapter,A section of a book,"I just finished reading the first chapter of the book."
claim,State something is true or demand as a right.,"The insurance company is investigating his claim."
clay,Fine-grained earth used for making pottery.,"The potter shaped the clay on the wheel."
climb,Ascent,"The climb to the top of the mountain was difficult."
completion,The action of finishing something.,"The completion of the project is scheduled for next month."
context,The circumstances that form the setting.,"To understand the word, you need to look at the context."
apathy,"Lack of interest, enthusiasm, or concern.","Voter apathy is a problem in many elections."
apex,The highest point or peak,"Reaching the apex of the mountain was their greatest achievement."
apocalypse,The complete final destruction of the world.,"The movie was about a zombie apocalypse."
arch,A curved structure spanning an opening.,"The stone arch was a remnant of the old bridge."
corridor,A long passage in a building.,"The hotel corridor was long and quiet."
couch,A long upholstered seat for several people.,"He was sitting on the couch watching TV."
criminal,A person who has committed a crime.,"The police arrested the criminal."
crisis,A time of intense difficulty or danger.,"The country is facing a severe economic crisis."
cry,Weeping,"She let out a cry of surprise."
cube,A three-dimensional shape with six equal square faces.,"The ice cube melted in the warm drink."
curriculum,The subjects in a course of study.,"The school's curriculum includes math, science, and history."
curve,A line that bends smoothly.,"The road has a sharp curve ahead."
cushion,A soft bag filled with material for comfort.,"She fluffed the cushion on the sofa."
cycle,A series of events that repeat in the same order.,"The life cycle of a butterfly is fascinating."
daily,Newspaper,"He reads the daily to keep up with the news."
dare,Challenge,"He accepted the dare to swim across the river."
darkness,The absence of light,"The power went out, plunging the house into darkness."
data,Facts and statistics collected for analysis.,"The company collects data on customer preferences."
database,A structured set of data,"All the information is stored in a central database."
deadline,The latest time by which something must be completed.,"The deadline for the project is this Friday."
dear,Loved one,"My dear, I've missed you."
deck,A floor of a ship or a platform.,"We sat on the deck and enjoyed the sunshine."
decline,Decrease,"There has been a steady decline in sales this year."
desktop,The surface of a desk or computer screen.,"I need to clean up the files on my computer's desktop."
destination,The place to which someone is going.,"Our final destination is Paris."
detection,The action of detecting something.,"Early detection of the disease is crucial."
device,A thing made for a particular purpose.,"A smartphone is a very useful device."
diagram,A simplified drawing showing appearance or structure.,"The diagram explains how the machine works."
dialogue,Conversation between two or more people.,"The dialogue in the movie was very witty."
dimension,A measurable extent of some kind.,"We need to know the exact dimensions of the room."
directory,A book listing people or organizations.,"You can find his number in the phone directory."
dirt,Substance that makes something unclean.,"He washed the dirt off his hands."
document,A written or printed paper providing information.,"Please sign the document on the last page."
dot,A small round mark,"The island was just a small dot on the map."
double,Duplicate,"He is the double of his twin brother."
down,Descent,"Every up has its down."
drawer,A sliding compartment in furniture.,"I keep my socks in the top drawer."
due,Debt,"He finally paid his due to society."
each,Individual,"Each of the students received a prize."
early,Beginning,
easy,Simplicity,
edition,A particular version of a published text.,"This is a limited edition of the book."
effectiveness,The degree to which something succeeds.,"They are measuring the effectiveness of the new drug."
efficiency,The state of achieving maximum productivity.,"The new machine has greatly improved our efficiency."
eight,The number eight,"Eight is my lucky number."
either,Alternative,"You can have either of the two options."
elimination,The complete removal of something.,"The elimination of waste is a key goal."
email,Electronic mail sent over the internet.,"I'll send you an email with the details."
emergency,A serious unexpected situation.,"In an emergency, call 911."
emission,The production and discharge of something.,"The factory was fined for illegal emissions."
abbey,A building or buildings occupied by a community of monks or nuns.,
abbreviation,A shortened form of a word or phrase.,
ability,Possession of the means or skill to do something.,
abnormality,The quality of being unusual or different from normal.,
abortion,The deliberate termination of a pregnancy.,
absence,Lack,
absolute,Certainty,
abstract,Summary,
abstraction,The quality of dealing with ideas rather than events.,
absurd,Nonsense,
absurdity,State of being ridiculous,
abundance,A very large quantity of something.,
abuse,The improper use of something or cruel treatment of someone.,
academy,A school for special training or higher education.,
accent,Pronunciation,
access,Entry,
accessory,An additional item that complements something.,
accident,Mishap,
accommodation,Lodging,
accomplishment,Something that has been achieved successfully.,
accord,An official agreement or treaty.,
account,Report,
accounting,The action or process of keeping financial accounts.,
accumulation,The acquisition or gradual gathering of something.,
achievement,Accomplishment,
acid,Chemical,
acquaintance,A person one knows slightly.,
acquisition,Obtaining,
acquittal,Legal judgment of not guilty.,
acre,"A unit of land area equal to 4,840 square yards.",
act,A thing done,
acting,Performing as actor,
action,Activity,
active,Participant,
activity,Action,
actor,Performer,
actress,"A female performer in theater, film, or television.",
actuality,Actual existence,
adaptation,Adjustment,
addiction,The condition of being dependent on a particular substance.,
addition,Extra,
additive,A substance added to improve or preserve something.,
address,Location,
adherence,Steady devotion to belief or practice.,
administration,Management,
admiral,A senior naval officer,
admiration,Respect and warm approval,
admission,Entry,
adornment,Decoration,
adult,Grown person,
advance,Progress,
advantage,Benefit,
adventure,Exciting experience,
adversary,An opponent or enemy,
adversity,Difficult or unpleasant situation.,
advertisement,Commercial,
advertiser,Person who advertises,
advice,Counsel,
adviser,A person who gives advice in a particular field.,
advocacy,Public support for or recommendation of a particular cause.,
affair,Matter,
affection,A gentle feeling of fondness or liking.,
affidavit,A written statement confirmed by oath.,
affinity,A natural liking or sympathy for someone or something.,
aftercare,Care after treatment,
afternoon,The time from noon to evening.,
age,The length of time that a person has lived or a thing has existed.,
agency,A business providing a particular service.,
agenda,A list of items to be discussed at a meeting.,
agent,Representative,
aggregate,Total sum or collection of separate parts.,
agitation,A state of anxiety or nervous excitement.,
agony,Extreme physical or mental suffering.,
agreement,Contract,
agriculture,The practice of farming and cultivation.,
aid,Help,
aide,An assistant to an important person.,
aim,Goal,
air,Atmosphere,
airhead,Silly or stupid person,
airport,A complex for aircraft operations.,
airway,Route regularly used by aircraft,
alarm,Warning,
alaska,US state in northwestern North America.,
album,A collection of recordings or photographs.,
alcohol,Drink,
alcoholism,Addiction to alcohol consumption.,
alibi,Evidence that someone was elsewhere.,
alien,A foreigner or extraterrestrial being.,
alignment,Arrangement in a straight line.,
all,Everything,
allegiance,Loyalty or commitment to a cause.,
allergy,A medical condition causing adverse reactions.,
alliance,Partnership,
alligator,A large reptile with powerful jaws.,
all-nighter,Event lasting all night,
allocation,The distribution of resources.,
allotment,small plot of land for growing.,
allowance,A sum of money given regularly.,
alloy,A metal made by combining two or more metals.,
ally,A country or person that cooperates with another.,
almond,An oval edible seed from a tree.,
alpaca,South American mammal related to llama.,
alpha,First letter of Greek alphabet,
alphabet,A set of letters used to represent the basic sounds of a language.,
alternative,Option,
altitude,Height above sea level,
alto,The lowest female singing voice.,
altogether,Completely,
amateur,Person who does activity for pleasure not money.,
amber,Fossilized tree resin,
ambiguity,Uncertainty of meaning,
ambition,Goal,
amendment,Change,
america,Continent or commonly United States.,
american,Relating to or characteristic of America or Americans.,
amethyst,Purple variety of quartz gemstone.,
ammunition,Bullets and shells for weapons.,
amnesty,An official pardon for people who have committed crimes.,
amount,Quantity,
ampere,Unit of electric current,
amplitude,The maximum extent of vibration.,
amusement,Entertainment or pleasure,
anagram,Word formed by rearranging letters,
analogy,A comparison between similar things.,
analysis,Examination,
anarchy,Absence of government or order.,
anatomy,The study of body structure.,
ancestor,A person from whom one is descended.,
ancient,Antiquity,
angel,A spiritual being in religious belief.,
anger,Rage,
angle,Corner,
animal,Creature,
animation,The technique of making drawings appear to move.,
ankle,The joint between foot and leg.,
anniversary,Yearly celebration,
announcement,Declaration,
announcer,Person who announces,
annoyance,The feeling of being irritated.,
answer,Reply,
ant,Small insect,
antarctic,South polar region,
antelope,Swift horned animal,
antidote,A medicine to counteract poison.,
antique,A valuable old object,
antiquity,The ancient past,
anxiety,Worry,
apartment,Flat,
ape,A large primate without a tail.,
apology,An expression of regret,
apostrophe,Punctuation mark,
apparatus,Equipment for a particular purpose.,
apparel,Clothing and accessories,
appeal,Request,
appearance,Look,
appetizer,Small first course,
applause,Clapping hands,
apple,Round fruit,
application,Use,
appointment,Meeting,
appreciation,Recognition of the full worth of something.,
apprehension,Anxiety or fear that something bad will happen.,
apprenticeship,Training period,
approach,Method,
appropriation,Taking for use,
approval,Consent,
apricot,Orange stone fruit,
april,The fourth month of the year.,
aquatic,Water organism,
arab,Person from Arabic-speaking countries.,
arbitration,Settlement of dispute by neutral third party.,
archer,Person who shoots with bow and arrow.,
archipelago,Group of islands,
architect,A person who designs buildings.,
architecture,Building design,
arctic,Extremely cold northern polar region.,
area,Region,
argument,Debate,
aristocracy,Highest class in society,
arizona,Southwestern US state,
arm,Limb,
armament,Military weapons and equipment.,
armor,Protective covering worn in combat.,
army,Military,
arrangement,Organization,
array,An impressive display or range of something.,
arrival,Coming,
arrow,A shaft with a pointed head shot from a bow.,
arsenal,Collection of weapons,
art,Art,
artichoke,Edible flower bud of Mediterranean plant.,
article,Item,
artillery,Large military weapons,
artist,Creator,
ascent,Act of climbing or going up.,
ash,The powdery residue left after burning.,
asia,Largest continent on Earth.,
aspect,Side,
aspiration,A hope or ambition of achieving something.,
aspirin,Common pain-relieving medication.,
ass,Donkey,
assault,Attack,
assembly,Gathering,
assessment,Evaluation,
asset,Resource,
assignment,Task,
assistant,Helper,
associate,person connected with.,
association,Organization,
assortment,Miscellaneous collection of things.,
assumption,Belief,
assurance,Confidence or certainty in one's abilities.,
asteroid,Small rocky object orbiting the sun.,
astonishment,Great surprise or amazement.,
astrology,Study of celestial bodies influence on human affairs.,
astronaut,Person trained to travel in spacecraft.,
astronomy,The study of celestial objects and space.,
astrophysics,Branch of astronomy dealing with physical properties.,
asylum,Protection granted to political refugees.,
atlas,A book of maps,
atmosphere,Air,
atom,The smallest unit of matter.,
atrocity,Cruel act,
attachment,Affection or an additional part.,
attack,Assault,
attainment,The achievement of something.,
attendance,The action of being present.,
attendant,A person who provides service to others.,
attention,Focus,
attitude,Viewpoint,
attorney,Lawyer,
attraction,Appeal,
auction,A public sale where goods are sold to the highest bidder.,
audience,Viewers,
audition,Performance test,
auditor,Financial examiner,
august,The eighth month of the year.,
aunt,The sister of one's father or mother.,
austerity,Strictness,
australia,Continent country,
australian,Person from Australia,
author,Writer,
authority,Power,
autobiography,An account of a person's life written by themselves.,
automation,The use of automatic equipment in manufacturing.,
autonomy,Self-government,
autumn,The season between summer and winter.,
avalanche,A mass of snow falling down a mountain.,
average,Mean,
aversion,Strong dislike,
avocado,Green creamy fruit,
award,Prize,
ax,Chopping tool,
axis,An imaginary line about which something rotates.,
baby,Infant,
back,Rear,
backache,Pain in back,
backbone,Spine,
background,History,
backing,Support,
backlog,Accumulated work,
backup,Copy for safety,
bacon,Cured pork,
bacteria,Microscopic organisms,
badger,Burrowing animal,
badminton,Racket sport,
bae,Sweetheart,
bag,Container,
baggage,Suitcases and bags used for travel.,
bail,Money paid to release arrested person.,
bailout,Financial rescue of failing organization.,
baker,Person who bakes bread and cakes.,
balance,Equilibrium,
ball,Sphere,
ballad,Narrative poem or song telling story.,
ballet,Artistic dance form with precise movements.,
ballot,Process or paper used for voting.,
bamboo,Tall woody grass plant,
banana,Yellow curved tropical fruit.,
band,Group,
bandage,Strip of material for covering wounds.,
bang,Sudden loud noise,
bank,Financial institution,
banker,Person who works in banking.,
banking,Business of operating banks.,
bankruptcy,Legal state of being unable to pay debts.,
baptism,Christian ceremony of initiation.,
bar,Rod,
barbarism,Extreme cruelty or brutality.,
barbecue,Outdoor cooking method,
barber,"Person who cuts hair, especially men's.",
bargain,Agreement,
bark,Outer covering of tree,
barley,Cereal grain used for food and brewing.,
barn,Large farm building for storing crops.,
baroque,Elaborate artistic style from 17th-18th centuries.,
barracks,Building housing soldiers,
barrel,tube of gun.,
barrier,Obstacle preventing movement or access.,
base,Foundation,
baseball,Sport played with bat and ball.,
basic,Fundamental,
basis,Foundation,
basket,Container made of woven material.,
basketball,Sport with ball and elevated hoops.,
bass,type of fish.,
bat,Flying mammal,
bath,Washing,
bathe,Wash oneself or someone else.,
bathroom,Washroom,
battalion,Large military unit of soldiers.,
battery,Device storing electrical energy,
battle,Fight,
battlefield,Area where battle takes place.,
battleship,Large heavily armed warship.,
bay,Body of water partly enclosed by land.,
beach,Shore,
bean,Edible seed of leguminous plant.,
bear,Animal,
beard,Facial hair,
bearing,Direction,
beast,Wild animal,
beat,Rhythm,
beauty,Attractiveness,
beaver,Dam-building animal,
bed,Sleeping place,
bedroom,Sleeping room,
bedtime,Time to sleep,
beef,Cow meat,
beefsteak,Slice of beef,
beer,Alcoholic drink,
beetle,Hard-shelled insect,
belief,Faith,
bell,Chime,
bellow,Loud roar,
beloved,Dearly loved,
belt,Strap,
bench,Seat,
bend,To curve,
benefit,Advantage,
benjamin,Youngest son,
berry,Small fruit,
bestie,BFF.,
bestseller,Popular book,
beta,Second Greek letter,
betrayal,Act of betraying,
beverage,Drink,
beyond,the afterlife.,
bibimbap,Korean mixed rice dish,
bible,Holy book,
bibliography,List of books,
bicycle,Bike,
bid,Offer,
big,Bigness,
biggie,Important person,
bill,Invoice,
billboard,Large advertising sign,
billiards,Cue sport,
billion,Thousand million,
bind,To tie,
binder,Folder with rings,
biochemistry,Chemistry of living things,
biodiversity,Variety of life,
biography,Life story,
biologist,Person studying life,
biology,Study of life,
biophysics,Physics of living systems,
birch,Type of tree with white bark.,
bird,Flying animal,
birth,Delivery,
birthday,Anniversary of person's birth.,
birthrate,Number of births per population.,
biryani,South Asian rice dish with spices.,
biscuit,Small baked cake or cookie.,
bishop,High-ranking Christian cleric.,
bit,Piece,
bite,Chew,
bitter,Sharp unpleasant taste,
black,The color black,
blackboard,Dark board for writing with chalk.,
blade,Cutting edge,
blanket,Cover,
blast,Strong gust,
blaze,Bright flame,
blessing,Divine favor,
blimp,Non-rigid airship filled with gas.,
blister,Fluid-filled bump on skin,
blizzard,Severe snowstorm with strong winds.,
block,Obstruct,
blood,Body fluid,
bloom,Flower,
blossom,Flower of fruit tree,
blouse,Loose-fitting upper garment.,
blow,Hit,
blue,The color blue,
blueberry,Small blue edible berry,
blur,lack of sharpness.,
blush,Reddening of face from embarrassment.,
board,Plank,
boardroom,Room for board meetings,
boat,Vessel,
body,Physique,
bog,Wetland with acidic water,
boil,Heated bubbling of liquid,
bolt,Metal fastener,
bomb,Explosive,
bombardment,Continuous attack with bombs.,
bomber,Aircraft designed to drop bombs.,
bond,Connection,
bone,Skeleton part,
bonus,Extra payment or benefit,
boo,Exclamation to frighten or disapprove.,
book,Book,
bookkeeping,Recording of financial transactions.,
boom,period of prosperity.,
boot,Footwear,
booth,Small enclosed compartment.,
border,Boundary,
borderline,Dividing line,
borrowing,Act of taking temporarily,
borscht,Eastern European beet soup.,
boss,Manager,
botany,Scientific study of plants.,
bother,Trouble,
bottle,Container for liquids,
bottom,Lowest part,
bounce,Rebound after hitting surface.,
bounty,Reward,
bouquet,Arrangement of flowers,
bourgeois,Middle-class person,
bout,Short period,
bowel,Part of intestine,
bowl,Dish,
bowling,Sport of rolling ball at pins.,
box,Container,
boxing,Sport of fighting with fists.,
boy,Male child,
boyhood,Period of being boy,
brace,Support structure,
bracelet,Jewelry worn around wrist,
brag,Boastful talk,
braid,Woven strands of hair or thread.,
brain,Organ,
brake,Device for slowing or stopping.,
branch,Limb,
brandy,Alcoholic spirit distilled from wine.,
brass,Yellow metal alloy,
brazil,Large South American country.,
breach,Gap or break,
bread,Food,
breadth,Width,
break,Break,
breakdown,Failure,
breakfast,First meal of the day,
breast,Chest,
breath,Air,
breeze,A gentle wind,
brew,Beverage made by brewing,
bribe,Payment to influence improperly.,
brick,Building block,
bridge,Connection,
brief,Short,
brilliant,Very bright,
brink,Edge of steep place,
britain,Island nation in Europe,
broad,Width,
broadcasting,Transmitting programs,
broccoli,Green vegetable,
broker,Agent,
bronze,Copper-tin alloy,
brook,Small stream,
broth,Soup liquid,
brother,Male sibling,
brow,Eyebrow,
brown,Color,
browse,To look through casually,
bruise,Injury mark,
brunch,Late morning meal,
brush,Tool,
brutality,Extreme cruelty,
brute,Savage person,
bubble,Air in liquid,
buck,Male deer,
bucket,Container with handle,
buckle,Belt fastener,
bud,Flower before opening,
buddhism,Eastern religion,
buddhist,A person who follows Buddhism,
buddy,A close friend,
budget,Plan,
buff,Enthusiast,
buffalo,Large bovine animal,
bug,Insect,
build,Physique,
builder,Construction worker,
building,Structure,
bulgogi,thin slices of beef in soy-based marinade.,
bulk,Large size,
bull,Male cattle,
bum,Buttocks,
bun,Small bread,
burden,Load,
bureau,Office,
bureaucracy,System of government by officials,
burial,Funeral interment,
burn,Fire,
bus,Vehicle,
bush,Shrub,
business,Commerce,
businessperson,Person engaged in commercial or industrial business,
bustle,Busy activity,
but,the end or thick part of something.,
butler,Chief male servant,
butt,Buttocks,
butter,Dairy spread,
butterfly,Winged insect,
button,Fastener,
buyout,Purchase of controlling interest in company,
buzz,Humming sound,
cabbage,Leafy vegetable,
cabinet,Cupboard,
cable,Wire,
cactus,Desert plant,
cadet,Young trainee in military or police academy,
cafe,Coffee shop,
cage,Enclosure for animals,
cake,Dessert,
cakewalk,something accomplished with little effort.,
calamity,Disaster,
calcium,Bone mineral,
calculation,Computation,
calculus,Branch of mathematics dealing with derivatives and integrals,
calendar,Date system,
calf,Young cow,
california,US west coast state,
calm,Peace,
camel,ship of desert,
camera,Photo device,
camp,Site,
campaign,Effort,
campus,School grounds,
can,Container,
canada,northern neighbor of US,
canal,Artificial waterway,
canary,Yellow songbird,
cancel,Postal mark showing postage paid,
cancellation,Act of calling off or annulling,
cancer,Disease,
candidate,Applicant,
candle,Wax light source,
candy,Sweet confection,
cane,Walking stick,
canoe,Small boat,
canon,Church law,
canopy,Overhead covering,
canvas,Painting cloth,
canyon,Deep valley,
cap,Hat,
capability,Ability,
capacitance,measure of electrical capacity.,
capacity,Volume,
cape,Sleeveless cloak,
capital,City,
capitalism,Economic system,
captain,Leader,
capture,To catch,
car,Car,
carbon,Chemical element,
card,Playing card,
cardinal,High-ranking Catholic official.,
care,Attention,
career,Profession,
cargo,Freight,
caricature,Exaggerated drawing or description.,
carnation,Pink flower,
carnival,Festival,
carol,Christmas song,
carp,Freshwater fish,
carpet,Rug,
carriage,Horse-drawn vehicle,
carrier,Transporter,
carrot,Orange root vegetable,
cartoon,Animated film,
case,Situation,
cash,Money,
cast,Throw,
caste,Social class system,
casting,Selecting actors,
castle,Fortress,
casual,Informal wear,
cat,Feline,
catalyst,Substance speeding chemical reaction.,
catch,Capture,
caterpillar,Butterfly larva,
cathedral,Large church,
catholic,Member of Catholic church,
cattle,Cows and bulls,
cauliflower,White vegetable with compact head.,
cause,Reason,
caution,Care,
cavalry,Soldiers fighting on horseback.,
cave,Underground hollow,
ceasefire,Temporary stop in fighting.,
cedar,Type of evergreen tree,
ceiling,Roof,
celebration,Party,
celebrity,Famous person,
celery,Green vegetable with long stalks.,
cell,Room,
cellar,Basement,
cello,Large stringed musical instrument.,
cement,Building material,
censor,Person examining content for approval.,
censorship,Suppression of speech or writing.,
census,Population count,
cent,Penny,
center,Middle,
centimeter,one hundredth meter,
century,Hundred years,
cereal,Breakfast food,
ceremonial,Relating to formal ceremony.,
ceremony,Ritual,
certainty,Sure thing,
certificate,Official document,
chain,Links,
chair,Seat,
chairman,Board leader,
chalk,Writing material,
challenge,Difficulty,
chamber,Room,
champagne,Sparkling wine,
champion,Winner,
championship,Competition for title,
chance,Opportunity,
chancellor,Head of government or university.,
change,Alteration,
channel,Passage,
chapati,Indian flatbread,
chapel,Small church,
character,Person,
characteristic,Typical feature,
charcoal,Burnt wood,
charge,Fee,
charity,Kindness,
charm,Attractiveness,
chart,Graph,
charter,Written grant of rights,
chase,Pursuit,
cheat,Fraud,
check,Verify,
checkup,Medical examination,
cheek,Side of face,
cheer,Shout of encouragement,
cheese,Dairy product,
chemical,Substance,
chemist,Scientist studying chemistry.,
chemistry,Science of matter,
cherry,Red fruit,
chess,Board game,
chest,Torso,
chestnut,Brown nut from tree,
chew,Bite and grind with teeth,
chick,"Young bird, especially chicken.",
chicken,Poultry,
chickpea,Round edible seed,
chief,Leader,
child,Child,
childhood,Youth,
chill,feeling of fear or unease.,
chime,set of bells,
chin,Lower jaw,
china,Asian country,
chinese,From China,
chip,Fragment,
chlorine,Chemical element used in water treatment and bleaching,
chocolate,Sweet brown treat,
choice,Option,
choir,Singing group,
choke,Device controlling airflow,
chop,Cutting blow,
chord,Musical combination of notes,
chore,Routine household task,
chorus,Group of singers,
christ,Title of Jesus as Messiah,
christian,Follower of Christ,
christianity,Religion of Jesus,
christmas,December 25 holiday,
chromosome,DNA structure,
chronicle,Historical record,
chuck,Gentle tap under chin,
chump,thick end of meat joint.,
church,Religious building,
cider,Alcoholic drink from fermented apples,
cinema,art of filmmaking,
circle,Round shape,
circulation,Blood flow,
circumstance,Situation,
circus,Entertainment show,
citation,Quotation or reference,
citizen,Resident,
citizenship,National membership,
city,City,
civility,Polite behavior,
civilization,Advanced society,
clam,Shellfish,
clamor,Loud confused noise,
clamp,Gripping tool,
clap,Hand strike,
clash,Conflict,
class,Group,
classic,Traditional,
classmate,Fellow student in same class,
classroom,Learning room,
clatter,Rattling sound,
clause,Contract section,
claw,Sharp nail,
cleaning,Process of removing dirt,
cleanser,Substance used for cleaning,
cleanup,Act of cleaning up,
clearance,Permission,
clearing,act of clearing,
clench,act of closing tightly,
clergy,Religious officials,
clergyman,Religious minister,
clerical,Office work,
clerk,Office worker,
client,Customer,
cliff,Steep rock face,
climate,Weather,
climax,Peak,
clinic,Medical facility,
clip,Fastening device,
cloak,Cape,
clock,Timepiece,
close,End,
closet,Wardrobe,
closure,Act of closing,
cloth,Fabric,
clothes,Clothing,
clothing,Garments,
cloud,Sky formation,
clover,symbol of luck,
club,Organization,
clue,Hint or indication,
clutch,group of eggs.,
coach,Trainer,
coal,Black combustible rock,
coalition,Alliance,
coast,Shore,
coat,Jacket,
coating,Protective layer,
cock,Male rooster,
cocktail,mixture of elements.,
cocoa,Chocolate powder,
coconut,Tropical fruit,
cod,Type of fish,
code,System,
coffee,Drink,
coffin,Burial box,
coin,Money,
coincidence,Chance occurrence,
cola,Carbonated soft drink,
cold,Low temperature,
collaboration,Working together,
collapse,Sudden failure,
collar,Neck part of garment,
collateral,Security pledged for loan repayment.,
colleague,Coworker,
collection,Gathering,
college,School,
colonel,Military officer,
colony,Settlement,
color,Hue,
coloring,Process of adding color,
colosseum,Large ancient Roman amphitheater.,
column,Pillar,
comb,Toothed device for hair,
combat,Fighting,
combination,Mixture,
comedy,Funny show,
comer,Person who arrives,
comet,Celestial body with bright tail.,
comfort,Physical ease,
comic,Funny,
command,Order,
commander,person in charge,
comment,Remark,
commentary,Explanatory remarks about event.,
commerce,Trade,
commercial,Business,
commission,Fee,
commitment,Promise,
committee,Group,
common,Shared area,
commonwealth,Political community,
communication,Contact,
communion,Sharing of thoughts,
communism,Political system with common ownership.,
communist,Supporter of communist ideology.,
community,Neighborhood,
companion,Friend,
company,Business,
comparative,Involving comparison between things.,
comparison,Contrast,
compass,Navigation instrument showing direction.,
compassion,Sympathy,
compensation,Payment,
competence,Ability to do something well.,
competition,Contest,
compilation,Collection of items assembled together.,
complaint,Grievance,
complexion,Natural color and appearance of skin.,
complexity,Complication,
complication,Complex or confusing element.,
compliment,Polite expression of praise.,
composer,person who writes music.,
composition,Musical work,
compost,Decayed organic matter used as fertilizer.,
compound,Mixture,
compromise,Settlement by mutual concession.,
compulsion,Irresistible urge to behave certain way.,
computer,Machine,
comrade,Companion or colleague,
conceit,Excessive pride in oneself.,
concentration,Focus,
concept,Idea,
conception,Forming of idea,
concern,Worry,
concert,Musical performance,
concession,Thing granted or yielded,
conclusion,End,
concrete,Building material,
condemnation,Expression of disapproval,
condition,State,
condominium,Individually owned apartment in building.,
conduct,Behavior,
