en	lang	translation	gender	meaning_translation
accommodation	it	gruppo	m	
accommodation	pt	acomodação	f	
accommodation	ru	жильё	n	
accommodation	ar	إقامة	f	
accommodation	hi			
accommodation	ja			
accommodation	zh			
accomplishment	fr	réalisation	f	
accomplishment	de			
accomplishment	es	logro	m	
accomplishment	it	accomplishmento	m	
accomplishment	pt	conquista	f	
accomplishment	ru	достижение	n	
accomplishment	ar	إنجاز	m	
accomplishment	hi			
accomplishment	ja			
accomplishment	zh			
accord	fr	accord	m	
accord	de			
accord	es	acuerdo	m	
accord	it	accordo	m	
accord	pt	acordo	m	
accord	ru	согласие	n	
accord	ar	اتفاق	m	
accord	hi			
accord	ja			
accord	zh			
account	fr	compte	m	
account	de			
account	es	cuenta	f	
account	it	conto	m	
account	pt	conta	f	
account	ru	счёт	m	
account	ar	حساب	m	
account	hi			
account	ja			
account	zh			
accounting	fr	comptabilité	f	
accounting	de			
accounting	es	contabilidad	f	
accounting	it	contabilità	f	
accounting	pt	contabilidade	f	
accounting	ru	бухгалтерия	f	
accounting	ar	محاسبة	f	
accounting	hi			
accounting	ja			
accounting	zh			
accumulation	fr	accumulation	f	
accumulation	de			
accumulation	es	acumulación	f	
accumulation	it	accumulo	m	
accumulation	pt	acumulação	f	
accumulation	ru	накопление	n	
accumulation	ar	تراكم	m	
accumulation	hi			
accumulation	ja			
accumulation	zh			
achievement	fr	accomplissement	m	
achievement	de			
achievement	es	logro	m	
achievement	it	cosa	f	
achievement	pt	conquista	f	
achievement	ru	достижение	n	
achievement	ar	إنجاز	m	
achievement	hi			
achievement	ja			
achievement	zh			
acid	fr	acide	m	
acid	de			
acid	es	ácido	m	
acid	it	acido	m	
acid	pt	ácido	m	
acid	ru	кислота	f	
acid	ar	حمض	m	
acid	hi			
acid	ja			
acid	zh			
acquaintance	fr	connaissance	f	
acquaintance	de			
acquaintance	es	conocido	m	
acquaintance	it	conoscente	m	
acquaintance	pt	conhecido	m	
acquaintance	ru	знакомый	m	
acquaintance	ar	معرفة	f	
acquaintance	hi			
acquaintance	ja			
acquaintance	zh			
acquisition	fr	acquisition	f	
acquisition	de			
acquisition	es	adquisición	f	
acquisition	it	acquisizione	f	
acquisition	pt	aquisição	f	
acquisition	ru	приобретение	n	
acquisition	ar	اكتساب	m	
acquisition	hi			
acquisition	ja			
acquisition	zh			
acquittal	fr	acquittement	m	
acquittal	de			
acquittal	es	absolución	f	
acquittal	it	assoluzione	f	
acquittal	pt	absolvição	f	
acquittal	ru	оправдание	n	
acquittal	ar	براءة	f	
acquittal	hi			
acquittal	ja			
acquittal	zh			
acre	fr	acre	m	
acre	de			
acre	es	acre	m	
acre	it	acro	m	
acre	pt	acre	m	
acre	ru	акр	m	
acre	ar	فدان	m	
acre	hi			
acre	ja			
acre	zh			
act	fr	acte	m	
act	de			
act	es	acto	m	
act	it	cosa	f	
act	pt	ato	m	
act	ru	акт	m	
act	ar	فعل	m	
act	hi			
act	ja			
act	zh			
acting	fr	jeu	m	
acting	de			
acting	es	actuación	f	
acting	it	gioco	m	
acting	pt	atuação	f	
acting	ru	игра	f	
acting	ar	تمثيل	m	
acting	hi			
acting	ja			
acting	zh			
action	fr	action	f	
action	de			
action	es	acción	f	
action	it	azione	f	
action	pt	ação	f	
action	ru	действие	n	
action	ar	عمل	m	
action	hi			
action	ja			
action	zh			
activity	fr	activité	f	
activity	de			
activity	es	actividad	f	
activity	it	attività	f	
activity	pt	atividade	f	
activity	ru	деятельность	f	
activity	ar	نشاط	m	
activity	hi			
activity	ja			
activity	zh			
actor	fr	acteur	m	
actor	de			
actor	es	actor	m	
actor	it	conoscente	m	
actor	pt	ator	m	
actor	ru	актёр	m	
actor	ar	ممثل	m	
actor	hi			
actor	ja			
actor	zh			
actress	fr	actrice	f	
actress	de			
actress	es	actriz	f	
actress	it	attrice	f	
actress	pt	atriz	f	
actress	ru	актриса	f	
actress	ar	ممثلة	f	
actress	hi			
actress	ja			
actress	zh			
actuality	fr	réalité	f	
actuality	de			
actuality	es	actualidad	f	
actuality	it	stato	m	
actuality	pt	atualidade	f	
actuality	ru	действительность	f	
actuality	ar	واقع	m	
actuality	hi			
actuality	ja			
actuality	zh			
adaptation	fr	adaptation	f	
adaptation	de			
adaptation	es	adaptación	f	
adaptation	it	contabilità	f	
adaptation	pt	adaptação	f	
adaptation	ru	адаптация	f	
adaptation	ar	تكيف	m	
adaptation	hi			
adaptation	ja			
adaptation	zh			
addiction	fr	dépendance	f	
addiction	de			
addiction	es	adicción	f	
addiction	it	azione	f	
addiction	pt	vício	m	
addiction	ru	зависимость	f	
addiction	ar	إدمان	m	
addiction	hi			
addiction	ja			
addiction	zh			
addition	fr	addition	f	
addition	de			
addition	es	adición	f	
addition	it	contabilità	f	
addition	pt	adição	f	
addition	ru	добавление	n	
addition	ar	إضافة	f	
addition	hi			
addition	ja			
addition	zh			
additive	fr	additif	m	
additive	de			
additive	es	aditivo	m	
additive	it	acido	m	
additive	pt	aditivo	m	
additive	ru	добавка	f	
additive	ar	مادة مضافة	f	
additive	hi			
additive	ja			
additive	zh			
address	fr	adresse	f	
address	de			
address	es	dirección	f	
address	it	indirizzo	m	
address	pt	endereço	m	
address	ru	адрес	m	
address	ar	عنوان	m	
address	hi			
address	ja			
address	zh			
adherence	fr	adhésion	f	
adherence	de			
adherence	es	adhesión	f	
adherence	it	adesione	f	
adherence	pt	aderência	f	
adherence	ru	приверженность	f	
adherence	ar	التزام	m	
adherence	hi			
adherence	ja			
adherence	zh			
administration	fr	administration	f	
administration	de			
administration	es	administración	f	
administration	it	adattamento	m	
administration	pt	administração	f	
administration	ru	администрация	f	
administration	ar	إدارة	f	
administration	hi			
administration	ja			
administration	zh			
admiral	fr	amiral	m	
admiral	de			
admiral	es	almirante	m	
admiral	it	ammiraglio	m	
admiral	pt	almirante	m	
admiral	ru	адмирал	m	
admiral	ar	أميرال	m	
admiral	hi			
admiral	ja			
admiral	zh			
admiration	fr	admiration	f	
admiration	de			
admiration	es	admiración	f	
admiration	it	ammirazione	f	
admiration	pt	admiração	f	
admiration	ru	восхищение	n	
admiration	ar	إعجاب	m	
admiration	hi			
admiration	ja			
admiration	zh			
admission	fr	admission	f	
admission	de			
admission	es	admisión	f	
admission	it	ammissione	f	
admission	pt	admissão	f	
admission	ru	допущение	n	
admission	ar	قبول	m	
admission	hi			
admission	ja			
admission	zh			
adornment	fr	ornement	m	
adornment	de			
adornment	es	adorno	m	
adornment	it	cosa	f	
adornment	pt	adorno	m	
adornment	ru	украшение	n	
adornment	ar	زينة	f	
adornment	hi			
adornment	ja			
adornment	zh			
adult	fr	adulte	m	
adult	de			
adult	es	adulto	m	
adult	it	conoscente	m	
adult	pt	adulto	m	
adult	ru	взрослый	m	
adult	ar	بالغ	m	
adult	hi			
adult	ja			
adult	zh			
advance	fr	avance	f	
advance	de			
advance	es	avance	m	
advance	it	movimento	m	
advance	pt	avanço	m	
advance	ru	аванс	m	
advance	ar	تقدم	m	
advance	hi			
advance	ja			
advance	zh			
advantage	fr	avantage	m	
advantage	de			
advantage	es	ventaja	f	
advantage	it	attività	f	
advantage	pt	vantagem	f	
advantage	ru	преимущество	n	
advantage	ar	ميزة	f	
advantage	hi			
advantage	ja			
advantage	zh			
adventure	fr	aventure	f	
adventure	de			
adventure	es	aventura	f	
adventure	it	esperienza	f	
adventure	pt	aventura	f	
adventure	ru	приключение	n	
adventure	ar	مغامرة	f	
adventure	hi			
adventure	ja			
adventure	zh			
adversary	fr	adversaire	m	
adversary	de			
adversary	es	adversario	m	
adversary	it	disputa	f	
adversary	pt	adversário	m	
adversary	ru	противник	m	
adversary	ar	خصم	m	
adversary	hi			
adversary	ja			
adversary	zh			
adversity	fr	adversité	f	
adversity	de			
adversity	es	adversidad	f	
adversity	it	adversità	f	
adversity	pt	adversidade	f	
adversity	ru	невзгоды	f	
adversity	ar	محنة	f	
adversity	hi			
adversity	ja			
adversity	zh			
advertisement	fr	publicité	f	
advertisement	de			
advertisement	es	anuncio	m	
advertisement	it	avviso	m	
advertisement	pt	propaganda	f	
advertisement	ru	реклама	f	
advertisement	ar	إعلان	m	
advertisement	hi			
advertisement	ja			
advertisement	zh			
advertiser	fr	annonceur	m	
advertiser	de			
advertiser	es	anunciante	m	
advertiser	it	conoscente	m	
advertiser	pt	anunciante	m	
advertiser	ru	рекламодатель	m	
advertiser	ar	معلن	m	
advertiser	hi			
advertiser	ja			
advertiser	zh			
advice	fr	conseil	m	
advice	de			
advice	es	consejo	m	
advice	it	guida	f	
advice	pt	conselho	m	
advice	ru	совет	m	
advice	ar	نصيحة	f	
advice	hi			
advice	ja			
advice	zh			
adviser	fr	conseiller	m	
adviser	de			
adviser	es	asesor	m	
adviser	it	conoscente	m	
adviser	pt	conselheiro	m	
adviser	ru	советник	m	
adviser	ar	مستشار	m	
adviser	hi			
adviser	ja			
adviser	zh			
advocacy	fr	plaidoyer	m	
advocacy	de			
advocacy	es	defensa	f	
advocacy	it	causa	f	
advocacy	pt	defesa	f	
advocacy	ru	защита	f	
advocacy	ar	دعوة	f	
advocacy	hi			
advocacy	ja			
advocacy	zh			
affair	fr	affaire	f	
affair	de			
affair	es	asunto	m	
affair	it	evento	m	
affair	pt	assunto	m	
affair	ru	дело	n	
affair	ar	شأن	m	
affair	hi			
affair	ja			
affair	zh			
affection	fr	affection	f	
affection	de			
affection	es	afecto	m	
affection	it	sentimento	m	
affection	pt	afeição	f	
affection	ru	привязанность	f	
affection	ar	عاطفة	f	
affection	hi			
affection	ja			
affection	zh			
affidavit	fr	déclaration	f	
affidavit	de			
affidavit	es	declaración jurada	f	
affidavit	it	ammissione	f	
affidavit	pt	declaração juramentada	f	
affidavit	ru	аффидевит	m	
affidavit	ar	إفادة خطية	f	
affidavit	hi			
affidavit	ja			
affidavit	zh			
affinity	fr	affinité	f	
affinity	de			
affinity	es	afinidad	f	
affinity	it	affinità	f	
affinity	pt	afinidade	f	
affinity	ru	сродство	n	
affinity	ar	تقارب	m	
affinity	hi			
affinity	ja			
affinity	zh			
aftercare	fr	suivi	m	
aftercare	de			
aftercare	es	cuidados posteriores	m	
aftercare	it	conoscente	m	
aftercare	pt	cuidados posteriores	m	
aftercare	ru	послеоперационный уход	m	
aftercare	ar	رعاية لاحقة	f	
aftercare	hi			
aftercare	ja			
aftercare	zh			
afternoon	fr	après-midi	m	
afternoon	de			
afternoon	es	tarde	f	
afternoon	it	tempo	m	
afternoon	pt	tarde	m	
afternoon	ru	вторая половина дня	f	
afternoon	ar	بعد الظهر	m	
afternoon	hi			
afternoon	ja			
afternoon	zh			
age	fr	âge	m	
age	de			
age	es	edad	f	
age	it	lunghezza	f	
age	pt	idade	f	
age	ru	возраст	m	
age	ar	عمر	m	
age	hi			
age	ja			
age	zh			
agency	fr	agence	f	
agency	de			
agency	es	agencia	f	
agency	it	affari	m	
agency	pt	agência	f	
agency	ru	агентство	n	
agency	ar	وكالة	f	
agency	hi			
agency	ja			
agency	zh			
agenda	fr	ordre	m	
agenda	de			
agenda	es	agenda	f	
agenda	it	lista	f	
agenda	pt	agenda	f	
agenda	ru	повестка дня	f	
agenda	ar	جدول أعمال	m	
agenda	hi			
agenda	ja			
agenda	zh			
agent	fr	agent	m	
agent	de			
agent	es	agente	m	
agent	it	conoscente	m	
agent	pt	agente	m	
agent	ru	агент	m	
agent	ar	وكيل	m	
agent	hi			
agent	ja			
agent	zh			
aggregate	fr	agrégat	m	
aggregate	de			
aggregate	es	agregado	m	
aggregate	it	tutto	m	
aggregate	pt	agregado	m	
aggregate	ru	совокупность	f	
aggregate	ar	مجموع	m	
aggregate	hi			
aggregate	ja			
aggregate	zh			
agitation	fr	agitation	f	
agitation	de			
agitation	es	agitación	f	
agitation	it	stato	m	
agitation	pt	agitação	f	
agitation	ru	волнение	n	
agitation	ar	اضطراب	m	
agitation	hi			
agitation	ja			
agitation	zh			
agony	fr	agonie	f	
agony	de			
agony	es	agonía	f	
agony	it	sofferenza	f	
agony	pt	agonia	f	
agony	ru	агония	f	
agony	ar	عذاب	m	
agony	hi			
agony	ja			
agony	zh			
agreement	fr	accord	m	
agreement	de			
agreement	es	acuerdo	m	
agreement	it	armonia	f	
agreement	pt	acordo	m	
agreement	ru	соглашение	n	
agreement	ar	اتفاق	m	
agreement	hi			
agreement	ja			
agreement	zh			
agriculture	fr	agriculture	f	
agriculture	de			
agriculture	es	agricultura	f	
agriculture	it	pratica	f	
agriculture	pt	agricultura	f	
agriculture	ru	сельское хозяйство	n	
agriculture	ar	زراعة	f	
agriculture	hi			
agriculture	ja			
agriculture	zh			
aid	fr	aide	f	
aid	de			
aid	es	ayuda	f	
aid	it	natura	f	
aid	pt	ajuda	f	
aid	ru	помощь	f	
aid	ar	مساعدة	f	
aid	hi			
aid	ja			
aid	zh			
aide	fr	assistant	m	
aide	de			
aide	es	ayudante	m	
aide	it	leader	m	
aide	pt	ajudante	m	
aide	ru	помощник	m	
aide	ar	مساعد	m	
aide	hi			
aide	ja			
aide	zh			
aim	fr	but	m	
aim	de			
aim	es	objetivo	m	
aim	it	scopo	m	
aim	pt	objetivo	m	
aim	ru	цель	f	
aim	ar	هدف	m	
aim	hi			
aim	ja			
aim	zh			
air	fr	air	m	
air	de			
air	es	aire	m	
air	it	acido	m	
air	pt	ar	m	
air	ru	воздух	m	
air	ar	هواء	m	
air	hi			
air	ja			
air	zh			
airhead	fr	écervelé	m	
airhead	de			
airhead	es	cabeza hueca	f	
airhead	it	conoscente	m	
airhead	pt	cabeça oca	f	
airhead	ru	пустоголовый	m	
airhead	ar	أحمق	m	
airhead	hi			
airhead	ja			
airhead	zh			
airport	fr	aéroport	m	
airport	de			
airport	es	aeropuerto	m	
airport	it	airport	m	
airport	pt	aeroporto	m	
airport	ru	аэропорт	m	
airport	ar	مطار	m	
airport	hi			
airport	ja			
airport	zh			
airway	fr	voie	f	
airway	de			
airway	es	vía aérea	f	
airway	it	airway	m	
airway	pt	via aérea	f	
airway	ru	воздушная трасса	f	
airway	ar	ممر جوي	m	
airway	hi			
airway	ja			
airway	zh			
alarm	fr	alarme	f	
alarm	de			
alarm	es	alarma	f	
alarm	it	pericolo	m	
alarm	pt	alarme	m	
alarm	ru	тревога	f	
alarm	ar	إنذار	m	
alarm	hi			
alarm	ja			
alarm	zh			
alaska	fr	Alaska	m	
alaska	de			
alaska	es	Alaska	f	
alaska	it	stato	m	
alaska	pt	alasca	f	
alaska	ru	Аляска	f	
alaska	ar	ألاسكا	f	
alaska	hi			
alaska	ja			
alaska	zh			
album	fr	album	m	
album	de			
album	es	álbum	m	
album	it	collezione	f	
album	pt	álbum	m	
album	ru	альбом	m	
album	ar	ألبوم	m	
album	hi			
album	ja			
album	zh			
alcohol	fr	alcool	m	
alcohol	de			
alcohol	es	alcohol	m	
alcohol	it	liquido	m	
alcohol	pt	álcool	m	
alcohol	ru	алкоголь	m	
alcohol	ar	كحول	m	
alcohol	hi			
alcohol	ja			
alcohol	zh			
alcoholism	fr	alcoolisme	m	
alcoholism	de			
alcoholism	es	alcoholismo	m	
alcoholism	it	alcoholism	m	
alcoholism	pt	alcoolismo	m	
alcoholism	ru	алкоголизм	m	
alcoholism	ar	إدمان كحول	m	
alcoholism	hi			
alcoholism	ja			
alcoholism	zh			
alibi	fr	alibi	m	
alibi	de			
alibi	es	coartada	f	
alibi	it	rivendicazione	f	
alibi	pt	álibi	m	
alibi	ru	алиби	n	
alibi	ar	حجة غياب	f	
alibi	hi			
alibi	ja			
alibi	zh			
alien	fr	étranger	m	
alien	de			
alien	es	extraterrestre	m	
alien	it	mondo	m	
alien	pt	alienígena	f	
alien	ru	инопланетянин	m	
alien	ar	كائن فضائي	m	
alien	hi			
alien	ja			
alien	zh			
alignment	fr	alignement	m	
alignment	de			
alignment	es	alineación	f	
alignment	it	disposizione	f	
alignment	pt	alinhamento	m	
alignment	ru	выравнивание	n	
alignment	ar	محاذاة	f	
alignment	hi			
alignment	ja			
alignment	zh			
all	fr	tout	m	
all	de			
all	es	todo	m	
all	it	tutto	m	
all	pt	tudo	m	
all	ru	всё	n	
all	ar	كل	m	
all	hi			
all	ja			
all	zh			
all-nighter	fr	nuit	f	
all-nighter	de			
all-nighter	es	desvelada	f	
all-nighter	it	evento	m	
all-nighter	pt	virada de noite	m	
all-nighter	ru	ночь без сна	f	
all-nighter	ar	سهرة ليلية	f	
all-nighter	hi			
all-nighter	ja			
all-nighter	zh			
allegiance	fr	allégeance	f	
allegiance	de			
allegiance	es	lealtad	f	
allegiance	it	gruppo	m	
allegiance	pt	lealdade	f	
allegiance	ru	верность	f	
allegiance	ar	ولاء	m	
allegiance	hi			
allegiance	ja			
allegiance	zh			
allergy	fr	allergie	f	
allergy	de			
allergy	es	alergia	f	
allergy	it	corpo	m	
allergy	pt	alergia	f	
allergy	ru	аллергия	f	
allergy	ar	حساسية	f	
allergy	hi			
allergy	ja			
allergy	zh			
alliance	fr	alliance	f	
alliance	de			
alliance	es	alianza	f	
alliance	it	beneficio	m	
alliance	pt	aliança	f	
alliance	ru	альянс	m	
alliance	ar	تحالف	m	
alliance	hi			
alliance	ja			
alliance	zh			
alligator	fr	alligator	m	
alligator	de			
alligator	es	caimán	m	
alligator	it	testa	f	
alligator	pt	jacaré	m	
alligator	ru	аллигатор	m	
alligator	ar	تمساح	m	
alligator	hi			
alligator	ja			
alligator	zh			
allocation	fr	allocation	f	
allocation	de			
allocation	es	asignación	f	
allocation	it	contabilità	f	
allocation	pt	alocação	f	
allocation	ru	распределение	n	
allocation	ar	تخصيص	m	
allocation	hi			
allocation	ja			
allocation	zh			
allotment	fr	attribution	f	
allotment	de			
allotment	es	parcela	f	
allotment	it	porzione	f	
allotment	pt	loteamento	m	
allotment	ru	участок	m	
allotment	ar	حصة	f	
allotment	hi			
allotment	ja			
allotment	zh			
allowance	fr	allocation	f	
allowance	de			
allowance	es	asignación	f	
allowance	it	ammontare	m	
allowance	pt	mesada	f	
allowance	ru	пособие	n	
allowance	ar	بدل	m	
allowance	hi			
allowance	ja			
allowance	zh			
alloy	fr	alliage	m	
alloy	de			
alloy	es	aleación	f	
alloy	it	metallo	m	
alloy	pt	liga	f	
alloy	ru	сплав	m	
alloy	ar	سبيكة	f	
alloy	hi			
alloy	ja			
alloy	zh			
ally	fr	allié	m	
ally	de			
ally	es	aliado	m	
ally	it	stato	m	
ally	pt	aliado	m	
ally	ru	союзник	m	
ally	ar	حليف	m	
ally	hi			
ally	ja			
ally	zh			
almond	fr	amande	f	
almond	de			
almond	es	almendra	f	
almond	it	seme	m	
almond	pt	amêndoa	f	
almond	ru	миндаль	m	
almond	ar	لوز	m	
almond	hi			
almond	ja			
almond	zh			
alpaca	fr	alpaga	m	
alpaca	de			
alpaca	es	alpaca	f	
alpaca	it	sud	m	
alpaca	pt	alpaca	f	
alpaca	ru	альпака	f	
alpaca	ar	ألبكة	f	
alpaca	hi			
alpaca	ja			
alpaca	zh			
alpha	fr	alpha	m	
alpha	de			
alpha	es	alfa	f	
alpha	it	primo	m	
alpha	pt	alfa	f	
alpha	ru	альфа	f	
alpha	ar	ألفا	f	
alpha	hi			
alpha	ja			
alpha	zh			
alphabet	fr	alphabet	m	
alphabet	de			
alphabet	es	alfabeto	m	
alphabet	it	ordine	m	
alphabet	pt	alfabeto	m	
alphabet	ru	алфавит	m	
alphabet	ar	أبجدية	f	
alphabet	hi			
alphabet	ja			
alphabet	zh			
alternative	fr	alternative	f	
alternative	de			
alternative	es	alternativa	f	
alternative	it	alternative	m	
alternative	pt	alternativa	f	
alternative	ru	альтернатива	f	
alternative	ar	بديل	m	
alternative	hi			
alternative	ja			
alternative	zh			
altitude	fr	altitude	f	
altitude	de			
altitude	es	altitud	f	
altitude	it	altezza	f	
altitude	pt	altitude	f	
altitude	ru	высота	f	
altitude	ar	ارتفاع	m	
altitude	hi			
altitude	ja			
altitude	zh			
alto	fr	alto	m	
alto	de			
alto	es	contralto	m	
alto	it	voce	f	
alto	pt	contralto	m	
alto	ru	альт	m	
alto	ar	ألتو	m	
alto	hi			
alto	ja			
alto	zh			
amateur	fr	amateur	m	
amateur	de			
amateur	es	aficionado	m	
amateur	it	conoscente	m	
amateur	pt	amador	m	
amateur	ru	любитель	m	
amateur	ar	هاوٍ	m	
amateur	hi			
amateur	ja			
amateur	zh			
amber	fr	ambre	m	
amber	de			
amber	es	ámbar	m	
amber	it	colore	m	
amber	pt	âmbar	m	
amber	ru	янтарь	m	
amber	ar	عنبر	m	
amber	hi			
amber	ja			
amber	zh			
ambiguity	fr	ambiguïté	f	
ambiguity	de			
ambiguity	es	ambigüedad	f	
ambiguity	it	qualità	f	
ambiguity	pt	ambiguidade	f	
ambiguity	ru	двусмысленность	f	
ambiguity	ar	غموض	m	
ambiguity	hi			
ambiguity	ja			
ambiguity	zh			
ambition	fr	ambition	f	
ambition	de			
ambition	es	ambición	f	
ambition	it	lavoro	m	
ambition	pt	ambição	f	
ambition	ru	амбиция	f	
ambition	ar	طموح	m	
ambition	hi			
ambition	ja			
ambition	zh			
amendment	fr	amendement	m	
amendment	de			
amendment	es	enmienda	f	
amendment	it	cambiamento	m	
amendment	pt	emenda	f	
amendment	ru	поправка	f	
amendment	ar	تعديل	m	
amendment	hi			
amendment	ja			
amendment	zh			
America	fr	Amérique	f	
America	de			
America	es	América	f	
America	it	nord	m	
America	pt	américa	f	
America	ru	Америка	f	
America	ar	أمريكا	f	
America	hi			
America	ja			
America	zh			
American	fr	Américain	m	
American	de			
American	es	americano	m	
American	it	cittadino	m	
American	pt	americano	m	
American	ru	американец	m	
American	ar	أمريكي	m	
American	hi			
American	ja			
American	zh			
amethyst	fr	améthyste	f	
amethyst	de			
amethyst	es	amatista	f	
amethyst	it	pietra	f	
amethyst	pt	ametista	f	
amethyst	ru	аметист	m	
amethyst	ar	جمشت	m	
amethyst	hi			
amethyst	ja			
amethyst	zh			
ammunition	fr	munition	f	
ammunition	de			
ammunition	es	munición	f	
ammunition	it	ammunizione	f	
ammunition	pt	munição	f	
ammunition	ru	боеприпасы	m	
ammunition	ar	ذخيرة	f	
ammunition	hi			
ammunition	ja			
ammunition	zh			
amnesty	fr	amnistie	f	
amnesty	de			
amnesty	es	amnistía	f	
amnesty	it	amnesty	m	
amnesty	pt	anistia	f	
amnesty	ru	амнистия	f	
amnesty	ar	عفو	m	
amnesty	hi			
amnesty	ja			
amnesty	zh			
amount	fr	montant	m	
amount	de			
amount	es	cantidad	f	
amount	it	quantità	f	
amount	pt	quantidade	f	
amount	ru	количество	n	
amount	ar	كمية	f	
amount	hi			
amount	ja			
amount	zh			
ampere	fr	ampère	m	
ampere	de			
ampere	es	amperio	m	
ampere	it	acro	m	
ampere	pt	ampère	m	
ampere	ru	ампер	m	
ampere	ar	أمبير	m	
ampere	hi			
ampere	ja			
ampere	zh			
amplitude	fr	amplitude	f	
amplitude	de			
amplitude	es	amplitud	f	
amplitude	it	estensione	f	
amplitude	pt	amplitude	f	
amplitude	ru	амплитуда	f	
amplitude	ar	سعة	f	
amplitude	hi			
amplitude	ja			
amplitude	zh			
amusement	fr	amusement	m	
amusement	de			
amusement	es	diversión	f	
amusement	it	stato	m	
amusement	pt	divertimento	m	
amusement	ru	развлечение	n	
amusement	ar	تسلية	f	
amusement	hi			
amusement	ja			
amusement	zh			
anagram	fr	anagramme	f	
anagram	de			
anagram	es	anagrama	m	
anagram	it	parola	f	
anagram	pt	anagrama	f	
anagram	ru	анаграмма	f	
anagram	ar	جناس	m	
anagram	hi			
anagram	ja			
anagram	zh			
